at,epoch,scope,classification,level_approved_m,raw_level_cm,raw_level_qc,raw_flow,raw_flow_qc,source_path,record_start_line,approved_q_in_other_preserved_xml
2026-01-03T09:30:00-03:00,1767443400.0,other,no_exact_record,,,,,,,,0
2026-01-03T09:45:00-03:00,1767444300.0,other,no_exact_record,,,,,,,,0
2026-01-03T10:00:00-03:00,1767445200.0,other,no_exact_record,,,,,,,,0
2026-01-03T10:15:00-03:00,1767446100.0,other,no_exact_record,,,,,,,,0
2026-01-03T10:30:00-03:00,1767447000.0,other,no_exact_record,,,,,,,,0
2026-01-03T10:45:00-03:00,1767447900.0,other,no_exact_record,,,,,,,,0
2026-01-03T11:00:00-03:00,1767448800.0,other,no_exact_record,,,,,,,,0
2026-01-03T11:15:00-03:00,1767449700.0,other,no_exact_record,,,,,,,,0
2026-01-03T11:30:00-03:00,1767450600.0,other,no_exact_record,,,,,,,,0
2026-01-03T11:45:00-03:00,1767451500.0,other,no_exact_record,,,,,,,,0
2026-01-03T12:00:00-03:00,1767452400.0,other,no_exact_record,,,,,,,,0
2026-01-03T12:15:00-03:00,1767453300.0,other,no_exact_record,,,,,,,,0
2026-01-03T12:30:00-03:00,1767454200.0,other,no_exact_record,,,,,,,,0
2026-01-03T12:45:00-03:00,1767455100.0,other,no_exact_record,,,,,,,,0
2026-01-03T13:00:00-03:00,1767456000.0,other,no_exact_record,,,,,,,,0
