tau_hours,family,horizon_h,group_kind,group,subset,scheduled_rows,observed_n,paired_n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
6,reference,4,event,f803fdacd0779dfe9e87b834,level_ge_7m,49,49,49,0,25,0.5102040816326531,0.4132430075116893,0.2891777388595173,0.8012689801115664,0.8185286692893872
6,reference,4,event,dcbe85f6ad3172a997c77a58,level_ge_7m,18,18,18,0,16,0.8888888888888888,0.26972406056383713,-0.15630468309810588,0.5200276112970367,0.5261751430440418
6,reference,4,event,unassigned,level_ge_7m,0,0,0,0,0,,,,,
6,reference,4,trend,falling,all,849,840,839,1,688,0.8200238379022646,0.29466335897771334,0.07538331606066949,1.1460374552227561,1.4113742639177325
6,reference,4,trend,falling,level_ge_7m,103,103,102,1,65,0.6372549019607843,0.4676729147293814,0.41557258967041594,1.2731708076642088,1.4113742639177325
6,reference,4,trend,rising,all,456,455,455,0,356,0.7824175824175824,0.3419676058599509,-0.1253619435903522,1.6494715927648715,3.329018638853949
6,reference,4,trend,rising,level_ge_7m,99,99,99,0,45,0.45454545454545453,0.7426098147086038,-0.02786551297059131,2.8098657543345134,3.329018638853949
6,reference,4,trend,stable,all,627,627,627,0,559,0.8915470494417863,0.23114890627339912,-0.029373895589675666,1.0632893676042574,1.7941023130621963
6,reference,4,trend,stable,level_ge_7m,33,33,33,0,24,0.7272727272727273,0.43903786737032163,0.29386586341101456,1.5247791371356483,1.7941023130621963
6,reference,4,trend,unknown,all,32,19,9,10,6,0.6666666666666666,0.32445511525330517,0.05710965136202092,0.7548366562120585,0.7869642472505305
6,reference,4,trend,unknown,level_ge_7m,2,2,1,1,0,0.0,0.5861668032600811,0.5861668032600811,0.5861668032600811,0.5861668032600811
6,reference,5,event,594b4ac32b57fab12c848086,level_ge_7m,35,35,35,0,35,1.0,0.2075837721501016,-0.07279926314923842,0.46162473195563974,0.47567704320398185
6,reference,5,event,a801ac814e2dfee4fc14bea5,level_ge_7m,135,135,133,2,51,0.38345864661654133,0.9422511165701802,0.3071098850769456,3.2821459484636946,4.023604409822896
6,reference,5,event,f803fdacd0779dfe9e87b834,level_ge_7m,49,49,49,0,24,0.4897959183673469,0.4730765662724363,0.34387112275212356,0.9069396074377877,0.9547350273569108
6,reference,5,event,dcbe85f6ad3172a997c77a58,level_ge_7m,18,18,18,0,17,0.9444444444444444,0.2834705256692343,-0.15151466800830013,0.5700143362265876,0.6185648329087776
6,reference,5,event,unassigned,level_ge_7m,0,0,0,0,0,,,,,
6,reference,5,trend,falling,all,848,839,838,1,660,0.7875894988066826,0.3230519525742537,0.029564587305220862,1.3331127871456252,1.7714551144196307
6,reference,5,trend,falling,level_ge_7m,101,101,100,1,57,0.57,0.5547657493922449,0.44538561608668076,1.5286621802128293,1.7714551144196307
6,reference,5,trend,rising,all,456,455,455,0,370,0.8131868131868132,0.3688678927468325,-0.11031840633580417,1.9903508757070492,4.023604409822896
6,reference,5,trend,rising,level_ge_7m,102,102,102,0,49,0.4803921568627451,0.8537667430307941,-0.03901086797099373,3.2925779027719186,4.023604409822896
6,reference,5,trend,stable,all,627,626,626,0,547,0.8738019169329073,0.2648666939188018,0.0031871314848253575,1.0660183636879845,2.707249273466646
6,reference,5,trend,stable,level_ge_7m,32,32,32,0,21,0.65625,0.5526206668084144,0.35116252336999976,2.000733561061258,2.707249273466646
6,reference,5,trend,unknown,all,32,20,9,11,6,0.6666666666666666,0.354823564570347,-0.10266069189858233,0.6077543795615915,0.6234076722483515
6,reference,5,trend,unknown,level_ge_7m,2,2,1,1,0,0.0,0.6234076722483515,0.6234076722483515,0.6234076722483515,0.6234076722483515
6,reference,6,event,594b4ac32b57fab12c848086,level_ge_7m,35,35,35,0,33,0.9428571428571428,0.23308736734620084,-0.10419315079492593,0.5329622261656313,0.5387685625801044
6,reference,6,event,a801ac814e2dfee4fc14bea5,level_ge_7m,135,135,133,2,45,0.3383458646616541,1.0914550560795864,0.3647225405301242,3.6961553594548313,4.815243764623784
6,reference,6,event,f803fdacd0779dfe9e87b834,level_ge_7m,49,49,49,0,23,0.46938775510204084,0.5254840097952437,0.3946573906641459,1.0154196384820775,1.0321538235361825
6,reference,6,event,dcbe85f6ad3172a997c77a58,level_ge_7m,18,18,18,0,16,0.8888888888888888,0.2978839862369931,-0.14634871600626287,0.659527663559649,0.6966985531283667
6,reference,6,event,unassigned,level_ge_7m,0,0,0,0,0,,,,,
6,reference,6,trend,falling,all,847,838,837,1,621,0.7419354838709677,0.36272164830011466,-0.021009661513148863,1.3983745314085751,2.8767744552142265
6,reference,6,trend,falling,level_ge_7m,98,98,97,1,50,0.5154639175257731,0.6521740868502934,0.455710436624836,1.8702942528337811,2.8767744552142265
6,reference,6,trend,rising,all,456,455,455,0,358,0.7868131868131868,0.3954926138460589,-0.07573821150673123,2.2301371491928963,4.815243764623784
