tau_hours,origin,target_time,recomputed_m,saved_m,abs_difference_m
12,2026-07-02T21:00:00-03:00,2026-07-03T07:00:00-03:00,8.45090797717097,8.45090797717097,0.0
12,2026-07-02T21:00:00-03:00,2026-07-03T08:00:00-03:00,8.484961361434525,8.484961361434529,3.552713678800501e-15
12,2026-07-02T21:00:00-03:00,2026-07-03T09:00:00-03:00,8.478669014259545,8.478669014259545,0.0
12,2026-07-22T08:00:00-03:00,2026-07-22T09:00:00-03:00,17.64209262439239,17.64209262439239,0.0
12,2026-07-22T08:00:00-03:00,2026-07-22T10:00:00-03:00,17.66081922926603,17.66081922926603,0.0
12,2026-07-22T08:00:00-03:00,2026-07-22T11:00:00-03:00,18.082794426455063,18.082794426455063,0.0
12,2026-07-22T08:00:00-03:00,2026-07-22T12:00:00-03:00,17.335723764692673,17.335723764692673,0.0
12,2026-07-22T08:00:00-03:00,2026-07-22T13:00:00-03:00,16.679134192831786,16.679134192831786,0.0
12,2026-07-22T08:00:00-03:00,2026-07-22T14:00:00-03:00,15.834584343788107,15.834584343788107,0.0
12,2026-07-22T08:00:00-03:00,2026-07-22T15:00:00-03:00,15.08306951715615,15.08306951715615,0.0
12,2026-07-22T08:00:00-03:00,2026-07-22T16:00:00-03:00,14.231080442979113,14.231080442979113,0.0
12,2026-07-22T08:00:00-03:00,2026-07-22T17:00:00-03:00,13.195968654124426,13.195968654124425,1.7763568394002505e-15
12,2026-07-22T08:00:00-03:00,2026-07-22T18:00:00-03:00,11.658524454882436,11.658524454882436,0.0
12,2026-07-22T08:00:00-03:00,2026-07-22T19:00:00-03:00,10.509942675889194,10.509942675889192,1.7763568394002505e-15
12,2026-07-22T08:00:00-03:00,2026-07-22T20:00:00-03:00,9.259299911140515,9.259299911140515,0.0
12,2026-07-22T09:00:00-03:00,2026-07-22T10:00:00-03:00,18.06000367590842,18.06000367590842,0.0
12,2026-07-22T09:00:00-03:00,2026-07-22T11:00:00-03:00,18.50708220522338,18.50708220522338,0.0
12,2026-07-22T09:00:00-03:00,2026-07-22T12:00:00-03:00,17.960642978507337,17.960642978507337,0.0
12,2026-07-22T09:00:00-03:00,2026-07-22T13:00:00-03:00,17.272337555761016,17.272337555761016,0.0
