tau_hours,horizon_h,subset,family,population,n,hits,hit_fraction,mae_m,rmse_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
2,6,level_ge_7m,julho_levels,common_three,235,98,0.41702127659574467,0.9519056950949414,1.249832411904998,0.48502181732117655,2.2502221487299328,2.6848826167587494,4.356867017166412
12,6,level_ge_7m,julho_levels,individual,235,136,0.5787234042553191,0.632028496490815,0.9592599433545484,0.14191204028921306,1.4724812964928318,3.3492304700314115,4.061902098043779
12,6,level_ge_7m,julho_levels,common_three,235,136,0.5787234042553191,0.632028496490815,0.9592599433545484,0.14191204028921306,1.4724812964928318,3.3492304700314115,4.061902098043779
6,7,all,reference,individual,1924,1427,0.7416839916839917,0.39208095485298133,0.5917780713575115,-0.021214602096099943,0.7976868838394322,1.719587202715005,5.691324727293669
6,7,all,reference,common_three,1924,1427,0.7416839916839917,0.39208095485298133,0.5917780713575115,-0.021214602096099943,0.7976868838394322,1.719587202715005,5.691324727293669
2,7,all,reference,individual,1924,1448,0.7525987525987526,0.41346112783278094,0.6297793232273574,-0.03394821288036538,0.8394728433154263,2.2897648355726394,5.84742129675511
2,7,all,reference,common_three,1924,1448,0.7525987525987526,0.41346112783278094,0.6297793232273574,-0.03394821288036538,0.8394728433154263,2.2897648355726394,5.84742129675511
12,7,all,reference,individual,1924,1372,0.7130977130977131,0.3958840524774894,0.5876794560339571,-0.01234170966228453,0.8095490305971973,1.3340232611841927,5.550073726831386
12,7,all,reference,common_three,1924,1372,0.7130977130977131,0.3958840524774894,0.5876794560339571,-0.01234170966228453,0.8095490305971973,1.3340232611841927,5.550073726831386
6,7,all,julho_levels,individual,1924,1403,0.7292099792099792,0.3982879939194406,0.5739105531989617,0.04104059324641741,0.7794450653526324,1.6540309275445646,4.913469515100857
6,7,all,julho_levels,common_three,1924,1403,0.7292099792099792,0.3982879939194406,0.5739105531989617,0.04104059324641741,0.7794450653526324,1.6540309275445646,4.913469515100857
2,7,all,julho_levels,individual,1924,1456,0.7567567567567568,0.4134336554051782,0.604419246659126,0.030080370353445043,0.7647954749735474,2.228382593661244,5.064270287086755
2,7,all,julho_levels,common_three,1924,1456,0.7567567567567568,0.4134336554051782,0.604419246659126,0.030080370353445043,0.7647954749735474,2.228382593661244,5.064270287086755
12,7,all,julho_levels,individual,1924,1335,0.6938669438669439,0.4004101938425362,0.576802002829943,0.048583881693566984,0.8209883098999419,1.4318337681228883,4.776930482843849
12,7,all,julho_levels,common_three,1924,1335,0.6938669438669439,0.4004101938425362,0.576802002829943,0.048583881693566984,0.8209883098999419,1.4318337681228883,4.776930482843849
6,7,level_ge_7m,reference,individual,235,100,0.425531914893617,0.8787661242032603,1.2640590793273663,0.26658239508619874,1.8802687585608597,3.462646246084388,5.691324727293669
6,7,level_ge_7m,reference,common_three,235,100,0.425531914893617,0.8787661242032603,1.2640590793273663,0.26658239508619874,1.8802687585608597,3.462646246084388,5.691324727293669
2,7,level_ge_7m,reference,individual,235,84,0.3574468085106383,1.0427301951743484,1.4155349486125859,0.4347127204750729,2.3709035931573625,3.1551582607104804,5.84742129675511
2,7,level_ge_7m,reference,common_three,235,84,0.3574468085106383,1.0427301951743484,1.4155349486125859,0.4347127204750729,2.3709035931573625,3.1551582607104804,5.84742129675511
12,7,level_ge_7m,reference,individual,235,125,0.5319148936170213,0.75249976344665,1.1728276930583723,0.10920112384057361,1.6046285768644881,3.8164817251240275,5.550073726831386
12,7,level_ge_7m,reference,common_three,235,125,0.5319148936170213,0.75249976344665,1.1728276930583723,0.10920112384057361,1.6046285768644881,3.8164817251240275,5.550073726831386
