period,horizon_h,population,subset,family,scheduled_population_rows,missing_truth_in_population,observed_targets,paired_predictions,missing_forecasts,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
2021,10,missing24,level_ge_7m,candidate120_plus2020,734,0,11,11,0,10,0.9090909090909091,0.9090909090909091,0.2797350293934517,0.01763408392384709,0.513828886256601,0.5175395602076476
2021,11,full_schedule,all,control120,733,0,733,733,0,553,0.7544338335607094,0.7544338335607094,0.3804315387346641,0.33231444024795603,0.9130328459721082,1.5329437114376967
2021,11,full_schedule,all,candidate120_plus2020,733,0,733,733,0,657,0.8963165075034106,0.8963165075034106,0.2265420759488273,0.08619595421155053,0.9701380292085553,2.4367218893824427
2021,11,full_schedule,level_ge_7m,control120,733,0,11,11,0,3,0.2727272727272727,0.2727272727272727,0.5904562945587747,0.5904562945587747,0.8239770384670608,0.8278408208679364
2021,11,full_schedule,level_ge_7m,candidate120_plus2020,733,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.29562798827660886,0.23510005423012642,0.6360304340447457,0.6516164283623382
2021,11,complete24,all,control120,0,0,0,0,0,0,,,,,,
2021,11,complete24,all,candidate120_plus2020,0,0,0,0,0,0,,,,,,
2021,11,complete24,level_ge_7m,control120,0,0,0,0,0,0,,,,,,
2021,11,complete24,level_ge_7m,candidate120_plus2020,0,0,0,0,0,0,,,,,,
2021,11,missing24,all,control120,733,0,733,733,0,553,0.7544338335607094,0.7544338335607094,0.3804315387346641,0.33231444024795603,0.9130328459721082,1.5329437114376967
2021,11,missing24,all,candidate120_plus2020,733,0,733,733,0,657,0.8963165075034106,0.8963165075034106,0.2265420759488273,0.08619595421155053,0.9701380292085553,2.4367218893824427
2021,11,missing24,level_ge_7m,control120,733,0,11,11,0,3,0.2727272727272727,0.2727272727272727,0.5904562945587747,0.5904562945587747,0.8239770384670608,0.8278408208679364
2021,11,missing24,level_ge_7m,candidate120_plus2020,733,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.29562798827660886,0.23510005423012642,0.6360304340447457,0.6516164283623382
2021,12,full_schedule,all,control120,732,0,732,732,0,484,0.6612021857923497,0.6612021857923497,0.4654291817772607,0.4329966007960689,1.0971342778234268,1.907365258669126
2021,12,full_schedule,all,candidate120_plus2020,732,0,732,732,0,636,0.8688524590163934,0.8688524590163934,0.27905086601170187,0.00878207740026739,1.0603734037304995,2.5290678946117358
2021,12,full_schedule,level_ge_7m,control120,732,0,11,11,0,6,0.5454545454545454,0.5454545454545454,0.4619525119497453,0.4619525119497453,0.7452415885824204,0.7455550653395893
2021,12,full_schedule,level_ge_7m,candidate120_plus2020,732,0,11,11,0,10,0.9090909090909091,0.9090909090909091,0.26485987361598334,-0.17411485600483775,0.5641501697728252,0.6156729849910185
2021,12,complete24,all,control120,0,0,0,0,0,0,,,,,,
2021,12,complete24,all,candidate120_plus2020,0,0,0,0,0,0,,,,,,
2021,12,complete24,level_ge_7m,control120,0,0,0,0,0,0,,,,,,
2021,12,complete24,level_ge_7m,candidate120_plus2020,0,0,0,0,0,0,,,,,,
2021,12,missing24,all,control120,732,0,732,732,0,484,0.6612021857923497,0.6612021857923497,0.4654291817772607,0.4329966007960689,1.0971342778234268,1.907365258669126
2021,12,missing24,all,candidate120_plus2020,732,0,732,732,0,636,0.8688524590163934,0.8688524590163934,0.27905086601170187,0.00878207740026739,1.0603734037304995,2.5290678946117358
2021,12,missing24,level_ge_7m,control120,732,0,11,11,0,6,0.5454545454545454,0.5454545454545454,0.4619525119497453,0.4619525119497453,0.7452415885824204,0.7455550653395893
2021,12,missing24,level_ge_7m,candidate120_plus2020,732,0,11,11,0,10,0.9090909090909091,0.9090909090909091,0.26485987361598334,-0.17411485600483775,0.5641501697728252,0.6156729849910185
2022,1,full_schedule,all,control120,1463,1,1462,1457,5,1450,0.9951956074124915,0.9917920656634747,0.04040695238373559,-0.01827991071694241,0.18347711053734436,1.1085347330164899
