month,id,variable,from_time_original,to_time_original,from_value,to_value,difference,source_file,from_line,to_line
2,JIUHQJ,val_volumeutil,2023-02-04 20:00:00,2023-02-04 21:00:00,12.0,21.0,9.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36327,36328
2,JIUHQJ,val_vazaoafluente,2023-02-24 19:00:00,2023-02-24 20:00:00,204.0,411.0,207.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36802,36803
2,JIUHQJ,val_vazaoafluente,2023-02-20 20:00:00,2023-02-20 21:00:00,153.0,312.0,159.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36707,36708
2,JIUHQJ,val_vazaoafluente,2023-02-06 01:00:00,2023-02-06 02:00:00,171.0,13.0,-158.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36356,36357
2,JIUHQJ,val_vazaoafluente,2023-02-23 01:00:00,2023-02-23 02:00:00,238.0,94.0,-144.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36760,36761
2,JIUHQJ,val_vazaoafluente,2023-02-05 01:00:00,2023-02-05 02:00:00,155.0,12.0,-143.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36332,36333
2,JIUHQJ,val_vazaodefluente,2023-02-24 23:59:00,2023-02-25 01:00:00,364.0,188.0,-176.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36807,36808
2,JIUHQJ,val_vazaodefluente,2023-02-24 18:00:00,2023-02-24 19:00:00,201.0,349.0,148.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36801,36802
2,JIUHQJ,val_vazaodefluente,2023-02-23 23:59:00,2023-02-24 01:00:00,355.0,214.0,-141.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36783,36784
2,JIUHQJ,val_vazaodefluente,2023-02-20 18:00:00,2023-02-20 19:00:00,28.0,142.0,114.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36705,36706
2,JIUHQJ,val_vazaodefluente,2023-02-20 19:00:00,2023-02-20 20:00:00,142.0,249.0,107.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36706,36707
2,JIUHQJ,val_vazaoturbinada,2023-02-24 23:59:00,2023-02-25 01:00:00,336.0,160.0,-176.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36807,36808
2,JIUHQJ,val_vazaoturbinada,2023-02-24 18:00:00,2023-02-24 19:00:00,173.0,321.0,148.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36801,36802
2,JIUHQJ,val_vazaoturbinada,2023-02-23 23:59:00,2023-02-24 01:00:00,327.0,187.0,-140.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36783,36784
2,JIUHQJ,val_vazaoturbinada,2023-02-20 18:00:00,2023-02-20 19:00:00,0.0,114.0,114.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36705,36706
2,JIUHQJ,val_vazaoturbinada,2023-02-20 19:00:00,2023-02-20 20:00:00,114.0,221.0,107.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36706,36707
2,JIUHQJ,val_vazaovertida,2023-02-01 01:00:00,2023-02-01 02:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36236,36237
2,JIUHQJ,val_vazaovertida,2023-02-01 02:00:00,2023-02-01 03:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36237,36238
2,JIUHQJ,val_vazaovertida,2023-02-01 03:00:00,2023-02-01 04:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36238,36239
2,JIUHQJ,val_vazaovertida,2023-02-01 04:00:00,2023-02-01 05:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36239,36240
2,JIUHQJ,val_vazaovertida,2023-02-01 05:00:00,2023-02-01 06:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36240,36241
2,JIUHQJ,val_vazaooutrasestruturas,2023-02-05 01:00:00,2023-02-05 02:00:00,26.0,29.0,3.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36332,36333
2,JIUHQJ,val_vazaooutrasestruturas,2023-02-04 23:00:00,2023-02-04 23:59:00,28.0,26.0,-2.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36330,36331
2,JIUHQJ,val_vazaooutrasestruturas,2023-02-05 02:00:00,2023-02-05 03:00:00,29.0,28.0,-1.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36333,36334
2,JIUHQJ,val_vazaooutrasestruturas,2023-02-05 23:59:00,2023-02-06 01:00:00,28.0,29.0,1.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36355,36356
2,JIUHQJ,val_vazaooutrasestruturas,2023-02-06 08:00:00,2023-02-06 09:00:00,29.0,28.0,-1.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36363,36364
2,JIUHQJ,val_vazaotransferida,2023-02-01 01:00:00,2023-02-01 02:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36236,36237
2,JIUHQJ,val_vazaotransferida,2023-02-01 02:00:00,2023-02-01 03:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36237,36238
2,JIUHQJ,val_vazaotransferida,2023-02-01 03:00:00,2023-02-01 04:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36238,36239
2,JIUHQJ,val_vazaotransferida,2023-02-01 04:00:00,2023-02-01 05:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36239,36240
