phase,horizon_h,population,region,rows,amount_cells,amount_missing,amount_finite_zero,rows_amount_all_missing,coverage_cells,coverage_missing,coverage_below_half,coverage_min,coverage_median,coverage_max
validation,6,evaluation_high_full_schedule,Alto Antas,28,252,0,5,0,168,0,0,0.8370036800309897,0.9793627735812511,0.9982802311317709
validation,6,evaluation_high_full_schedule,Tainhas,28,252,0,5,0,168,0,0,1.0,1.0,1.0
validation,7,original_training,Baixo Antas,4353,39177,156,24072,0,26118,0,148,0.1512373554913295,0.9053468208092484,0.994084176300578
validation,7,original_training,Carreiro,4353,39177,388,19617,0,26118,0,227,0.07683307332293292,0.9695787831513261,0.999561232449298
validation,7,original_training,Prata-Turvo,4353,39177,34,21098,0,26118,0,26,0.13350657427149967,0.998376791637053,1.0
validation,7,original_training,Alto Antas,4353,39177,41,19953,0,26118,0,31,0.0992246513654852,0.9561164374717541,0.9991401155658854
validation,7,original_training,Tainhas,4353,39177,38,24767,0,26118,0,30,0.11402834699453551,1.0,1.0
validation,7,added2023_training,Baixo Antas,491,4419,3693,177,409,2946,0,2466,0.28901734104046245,0.32947976878612717,0.7802113439306358
validation,7,added2023_training,Carreiro,491,4419,3681,193,409,2946,0,2454,0.046801872074883,0.0514820592823713,0.781371879875195
validation,7,added2023_training,Prata-Turvo,491,4419,0,1579,0,2946,0,0,0.7356076759061834,0.7356076759061834,0.8027718550106611
validation,7,added2023_training,Alto Antas,491,4419,2,1285,0,2946,0,2,0.49506101104009304,0.7425915165601394,0.7956402527600233
validation,7,added2023_training,Tainhas,491,4419,1,2152,0,2946,0,1,0.3907103825136612,1.0,1.0
validation,7,combined_training,Baixo Antas,4844,43596,3849,24249,409,29064,0,2614,0.1512373554913295,0.9030437138728323,0.994084176300578
validation,7,combined_training,Carreiro,4844,43596,4069,19810,409,29064,0,2681,0.046801872074883,0.9637285491419656,0.999561232449298
validation,7,combined_training,Prata-Turvo,4844,43596,34,22677,0,29064,0,26,0.13350657427149967,0.9967128642501777,1.0
validation,7,combined_training,Alto Antas,4844,43596,43,21238,0,29064,0,33,0.0992246513654852,0.9494948027632513,0.9991401155658854
validation,7,combined_training,Tainhas,4844,43596,39,26919,0,29064,0,31,0.11402834699453551,1.0,1.0
validation,7,evaluation_high_full_schedule,Baixo Antas,28,252,0,16,0,168,0,0,0.7160404624277458,0.9645050578034682,0.994084176300578
validation,7,evaluation_high_full_schedule,Carreiro,28,252,0,12,0,168,0,0,0.891185647425897,0.9423589443577743,0.9964898595943839
validation,7,evaluation_high_full_schedule,Prata-Turvo,28,252,0,16,0,168,0,0,0.9834273572613126,0.9989042880833927,0.9998630360104241
validation,7,evaluation_high_full_schedule,Alto Antas,28,252,0,4,0,168,0,0,0.8370036800309897,0.9793627735812511,0.9982802311317709
validation,7,evaluation_high_full_schedule,Tainhas,28,252,0,4,0,168,0,0,1.0,1.0,1.0
validation,8,original_training,Baixo Antas,4352,39168,156,24071,0,26112,0,148,0.1512373554913295,0.9053468208092484,0.994084176300578
validation,8,original_training,Carreiro,4352,39168,388,19612,0,26112,0,227,0.07683307332293292,0.9695787831513261,0.999561232449298
validation,8,original_training,Prata-Turvo,4352,39168,34,21098,0,26112,0,26,0.13350657427149967,0.998376791637053,1.0
validation,8,original_training,Alto Antas,4352,39168,41,19956,0,26112,0,31,0.0992246513654852,0.9561164374717541,0.9991401155658854
validation,8,original_training,Tainhas,4352,39168,38,24766,0,26112,0,30,0.11402834699453551,1.0,1.0
validation,8,added2023_training,Baixo Antas,489,4401,3682,177,408,2934,0,2458,0.28901734104046245,0.32947976878612717,0.7802113439306358
validation,8,added2023_training,Carreiro,489,4401,3672,193,408,2934,0,2448,0.046801872074883,0.0514820592823713,0.781371879875195
validation,8,added2023_training,Prata-Turvo,489,4401,0,1579,0,2934,0,0,0.7356076759061834,0.7356076759061834,0.8027718550106611
validation,8,added2023_training,Alto Antas,489,4401,2,1285,0,2934,0,2,0.49506101104009304,0.7425915165601394,0.7956402527600233
validation,8,added2023_training,Tainhas,489,4401,1,2152,0,2934,0,1,0.3907103825136612,1.0,1.0
validation,8,combined_training,Baixo Antas,4841,43569,3838,24248,408,29046,0,2606,0.1512373554913295,0.9030437138728323,0.994084176300578
validation,8,combined_training,Carreiro,4841,43569,4060,19805,408,29046,0,2675,0.046801872074883,0.9637285491419656,0.999561232449298
validation,8,combined_training,Prata-Turvo,4841,43569,34,22677,0,29046,0,26,0.13350657427149967,0.9967128642501777,1.0
validation,8,combined_training,Alto Antas,4841,43569,43,21241,0,29046,0,33,0.0992246513654852,0.9494948027632513,0.9991401155658854
validation,8,combined_training,Tainhas,4841,43569,39,26918,0,29046,0,31,0.11402834699453551,1.0,1.0
validation,8,evaluation_high_full_schedule,Baixo Antas,28,252,0,13,0,168,0,0,0.7160404624277458,0.9645050578034682,0.994084176300578
validation,8,evaluation_high_full_schedule,Carreiro,28,252,0,10,0,168,0,0,0.891185647425897,0.9441871424856995,0.9964898595943839
validation,8,evaluation_high_full_schedule,Prata-Turvo,28,252,0,14,0,168,0,0,0.9834273572613126,0.9989042880833927,0.9998630360104241
validation,8,evaluation_high_full_schedule,Alto Antas,28,252,0,3,0,168,0,0,0.8370036800309897,0.9808719090967783,0.9982802311317709
validation,8,evaluation_high_full_schedule,Tainhas,28,252,0,3,0,168,0,0,1.0,1.0,1.0
validation,9,original_training,Baixo Antas,4351,39159,156,24074,0,26106,0,148,0.1512373554913295,0.9053468208092484,0.994084176300578
validation,9,original_training,Carreiro,4351,39159,388,19612,0,26106,0,227,0.07683307332293292,0.9695787831513261,0.999561232449298
validation,9,original_training,Prata-Turvo,4351,39159,34,21097,0,26106,0,26,0.13350657427149967,0.998376791637053,1.0
validation,9,original_training,Alto Antas,4351,39159,41,19958,0,26106,0,31,0.0992246513654852,0.9561164374717541,0.9991401155658854
validation,9,original_training,Tainhas,4351,39159,38,24766,0,26106,0,30,0.11402834699453551,1.0,1.0
validation,9,added2023_training,Baixo Antas,487,4383,3671,177,407,2922,0,2450,0.28901734104046245,0.32947976878612717,0.7802113439306358
validation,9,added2023_training,Carreiro,487,4383,3663,193,407,2922,0,2442,0.046801872074883,0.0514820592823713,0.781371879875195
validation,9,added2023_training,Prata-Turvo,487,4383,0,1578,0,2922,0,0,0.7356076759061834,0.7356076759061834,0.8027718550106611
validation,9,added2023_training,Alto Antas,487,4383,2,1285,0,2922,0,2,0.49506101104009304,0.7425915165601394,0.7956402527600233
validation,9,added2023_training,Tainhas,487,4383,1,2152,0,2922,0,1,0.3907103825136612,1.0,1.0
validation,9,combined_training,Baixo Antas,4838,43542,3827,24251,407,29028,0,2598,0.1512373554913295,0.9030437138728323,0.994084176300578
