horizon_h,subset,population,family,observed_targets,n,excluded_n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
7,all,individual,reference,1938,1924,14,1403,0.7292099792099792,0.3982879939194406,0.04104059324641741,0.7794450653526324,1.6540309275445646,4.913469515100857
7,all,individual,observed_julho,1938,1340,598,971,0.7246268656716418,0.3827351377180781,0.03305043536901775,0.7797348284606387,1.4996147349447508,1.9058735183456292
7,all,individual,observed_carreiro,1938,1671,267,1186,0.7097546379413525,0.41619692109550177,0.05448143916999641,0.7978405540290898,1.7101694200890916,4.88749682108436
7,all,individual,observed_both,1938,1153,785,825,0.7155247181266262,0.39509551052789466,0.042396672656137856,0.8060842182323392,1.5454561655932193,1.9055408450033386
7,all,common_four,reference,1938,1153,785,826,0.7163920208152645,0.4186301184571866,0.13893611388028765,0.8231442460027715,1.820412983848354,4.913469515100857
7,all,common_four,observed_julho,1938,1153,785,826,0.7163920208152645,0.39251412413989833,0.035338031946643235,0.7891510574931618,1.537418777706516,1.9058735183456292
7,all,common_four,observed_carreiro,1938,1153,785,825,0.7155247181266262,0.41969507993015076,0.1463719906158173,0.8272234698813735,1.7662733090476364,4.88749682108436
7,all,common_four,observed_both,1938,1153,785,825,0.7155247181266262,0.39509551052789466,0.042396672656137856,0.8060842182323392,1.5454561655932193,1.9055408450033386
7,high,individual,reference,237,235,2,108,0.4595744680851064,0.8392207978107249,0.31202355904855916,1.8457393398682296,3.196858436638674,4.913469515100857
7,high,individual,observed_julho,237,163,74,86,0.5276073619631901,0.628011598193373,0.42452686554893837,1.6098930669720546,1.8065972316239882,1.8242990962998515
7,high,individual,observed_carreiro,237,180,57,54,0.3,1.0346955639168764,0.3816093531592572,2.0866075883132447,3.4002913189274486,4.88749682108436
7,high,individual,observed_both,237,124,113,52,0.41935483870967744,0.7514240948504548,0.5187816222298547,1.6485176630462248,1.8662181357294623,1.9055408450033386
7,high,common_four,reference,237,124,113,46,0.3709677419354839,1.0059829858051905,0.47016423733882456,2.0105023953550147,3.480156188229155,4.913469515100857
7,high,common_four,observed_julho,237,124,113,54,0.43548387096774194,0.7332583002772388,0.5017593209467479,1.6546724635417724,1.8140221042673927,1.8242990962998515
7,high,common_four,observed_carreiro,237,124,113,45,0.3629032258064516,1.0228420115156864,0.4874119136039156,2.078623297498837,3.4337918916831813,4.88749682108436
7,high,common_four,observed_both,237,124,113,52,0.41935483870967744,0.7514240948504548,0.5187816222298547,1.6485176630462248,1.8662181357294623,1.9055408450033386
8,all,individual,reference,1937,1922,15,1324,0.6888657648283039,0.4321794697726589,0.04898294666960936,0.8510421647907126,1.7878753686603068,5.290344913970436
8,all,individual,observed_julho,1937,1260,677,900,0.7142857142857143,0.39558118299525885,0.03296857185923696,0.8032293622463742,1.532378500840337,1.9165334957733098
8,all,individual,observed_carreiro,1937,1667,270,1138,0.6826634673065387,0.44895894154956745,0.06534356285964582,0.8753047900335965,1.8095157718937391,5.095500300146302
8,all,individual,observed_both,1937,1082,855,758,0.7005545286506469,0.4090757699446429,0.04303358178280996,0.8169283786801006,1.618524844544212,2.012225360003624
8,all,common_four,reference,1937,1082,855,729,0.6737523105360443,0.4606097718862011,0.17734849673926936,0.9032596619557065,1.9123455711523802,5.290344913970436
8,all,common_four,observed_julho,1937,1082,855,758,0.7005545286506469,0.40597241736303014,0.03505768632618678,0.8219873055579301,1.6267051721857468,1.9165334957733098
8,all,common_four,observed_carreiro,1937,1082,855,735,0.6792975970425139,0.45904390155050867,0.1859713328173644,0.9243536509513477,1.875327975208504,5.095500300146302
8,all,common_four,observed_both,1937,1082,855,758,0.7005545286506469,0.4090757699446429,0.04303358178280996,0.8169283786801006,1.618524844544212,2.012225360003624
8,high,individual,reference,237,235,2,95,0.40425531914893614,0.921814234803545,0.31487374781112565,1.9641062787691015,3.9474171217206284,5.290344913970436
8,high,individual,observed_julho,237,154,83,79,0.512987012987013,0.6694863952226275,0.4747882045342244,1.7095816283579433,1.893761390580693,1.9165334957733098
8,high,individual,observed_carreiro,237,178,59,48,0.2696629213483146,1.1476122536225963,0.38579173591454646,2.2644442840957644,4.049738202482714,5.095500300146302
8,high,individual,observed_both,237,116,121,46,0.39655172413793105,0.8008662801945111,0.5754745016164216,1.7633918333175247,1.9623490499259695,2.012225360003624
