phase,horizon_h,input_column,median,mean,scale,standardized_coefficient,original_unit_coefficient
validation,6,22,0.0,0.00417590027700831,0.08756837845829177,0.037831119444238503,0.4320180424747412
validation,6,23,0.0,0.003967855493998154,0.0691610920720375,0.016077299457791724,0.23246161933136875
test,6,1,-0.019999999999999574,0.003172600691524158,0.13053654568195103,0.05313794060379943,0.40707328607628906
test,6,2,-0.010000000000000009,0.0021729277637603985,0.1253408138612382,0.031106242647958277,0.24817329399500512
test,6,3,-0.010000000000000009,0.0010383375385478004,0.11953240335678758,-0.018474973304858665,-0.15456037681860577
test,6,4,-0.009999999999999981,-0.00016067423605270592,0.11005394403109932,-0.025231889309658233,-0.22926837862828564
test,6,5,-0.006249999999999978,-9.999065507896457e-05,0.09506021312324459,-0.0691117702102972,-0.7270315091834951
test,6,7,0.0,0.008374918231940929,0.17233529055756142,0.07673773341950137,0.4452815971193685
test,6,8,0.0,0.008581440986823662,0.16802537462678963,0.04647055036648114,0.276568646073246
test,6,9,0.0,0.009121577422670777,0.16002611774840766,0.1048927064088832,0.6554724184073192
test,6,10,0.0,0.010646201289599104,0.14292414062264133,0.10824341712286932,0.7573487351493785
test,6,11,-0.0012499999999999734,0.009061886739557051,0.10715669820017036,0.0641279590940392,0.59845030848419
test,6,13,0.0,0.012335295766750765,0.1470931120248579,0.12535046468160307,0.8521844629979654
test,6,14,-0.010000000000000009,0.012282029716848896,0.1446437941873998,0.06275285501660997,0.4338440882939483
test,6,15,-0.010000000000000009,0.011963835155592939,0.1371482400677714,0.05821271176936946,0.42445103007230583
test,6,16,-0.007499999999999951,0.008216989066442392,0.11530259781071546,0.09084657001644199,0.787896992274005
test,6,17,-0.0050000000000000044,0.0037033922063358566,0.08868789140438083,0.06788350697989184,0.7654202383769683
test,6,19,0.0,-0.00013269787870292537,0.1626661483585121,0.004228105854766243,0.025992536845758495
test,6,20,0.0,0.0009475749929913096,0.14000446933391367,0.009243861246895416,0.06602547255008416
test,6,21,0.0,0.0012905335949911236,0.11360092575669277,0.011974136757847762,0.10540527445606937
test,6,22,0.0,0.0012491823194094008,0.08740205128518219,0.014972372357704617,0.17130458767897333
test,6,23,0.0,0.0015059340248574896,0.06336011101404662,0.005667233957123033,0.08944482366621226
validation,7,1,0.0,0.00920698924731184,0.1576084089142118,0.06318383253974814,0.4008912530431031
validation,7,2,-0.010000000000000009,0.007869623655913979,0.1524629340648331,0.04359077477870261,0.28591063818938534
validation,7,3,-0.010000000000000009,0.006556899641577061,0.14682064371854864,0.001133692089878875,0.007721612309861093
validation,7,4,-0.007500000000000007,0.004543570788530467,0.13699959961505997,-0.032069035981651034,-0.23408123871718073
validation,7,5,-0.006249999999999978,0.004195788530465951,0.12150498445259131,-0.06645421506574252,-0.5469258348958643
validation,7,7,0.0,0.01112455197132614,0.20216788484433842,0.12876218437616396,0.6369072143941454
validation,7,8,0.0,0.011449372759856628,0.1949797357349651,0.10199412230556462,0.5231011413627347
validation,7,9,0.0,0.01289314516129032,0.18407740017201038,0.1204768118126488,0.6544899683506489
validation,7,10,-0.0024999999999999467,0.016398409498207884,0.16410371567371146,0.12437038952021862,0.7578767428246727
validation,7,11,-0.0012500000000000289,0.015462029569892472,0.1292973293672345,0.08017787782815895,0.6201046705337209
validation,7,13,0.0,0.018006272401433668,0.1642694917216151,0.12690082745203787,0.7725161021810105
validation,7,14,-0.009999999999999787,0.018181003584229385,0.16252600408773846,0.09107888201461999,0.5603957503652875
validation,7,15,-0.0050000000000000044,0.0179502688172043,0.1550026700542351,0.08115089553140872,0.523545146048221
validation,7,16,-0.0050000000000000044,0.014133064516129033,0.13473957687033367,0.06493603458345443,0.48193734975096053
validation,7,17,-0.0050000000000000044,0.008087757616487456,0.10876281897571567,0.00917686913832087,0.0843750578069318
validation,7,19,0.0,0.003956093189964158,0.15526146824058024,0.016755988916144132,0.10792110306583245
validation,7,20,0.0,0.003976254480286738,0.12821870446429237,0.030456336855483317,0.23753427382324785
validation,7,21,0.0,0.004303315412186378,0.10804400291579806,0.03548239213046889,0.32840686361945864
validation,7,22,0.0,0.004094982078853046,0.08730634128403675,0.04728439617026679,0.541591773001171
validation,7,23,0.0,0.003998095878136202,0.06859623605391918,0.024996594986251737,0.36440184511878304
test,7,1,-0.019999999999999574,0.0023578274760383397,0.1299948379820883,0.0554882516014262,0.42684965389988644
test,7,2,-0.010000000000000009,0.0015638977635782784,0.12549486262433038,0.031116442162112113,0.24794992807999933
test,7,3,-0.010000000000000009,0.0005888863532633506,0.12028493006472893,-0.015063656058901012,-0.125233111502786
test,7,4,-0.009999999999999981,-0.0004997147421268819,0.11122070910243359,-0.023822568774021467,-0.2141918440034493
test,7,5,-0.006249999999999978,-0.00026437699680511136,0.09566945508652573,-0.07991477277218485,-0.835321709524822
test,7,7,0.0,0.007569146508443621,0.17979926084653466,0.12415389095237113,0.6905139118360507
test,7,8,0.0,0.007998174349612048,0.17495657672476972,0.05938597090241756,0.33943262959379744
test,7,9,0.0,0.009126426289365585,0.16477434049673284,0.11304975921735207,0.6860883732051328
test,7,10,0.0,0.010796211775445003,0.14424428851380341,0.12432685231031378,0.8619187185246253
test,7,11,-0.0012499999999999734,0.008713030579643998,0.10730488328136714,0.06662754261783764,0.6209180848100985
test,7,13,0.0,0.011665905979005015,0.14540040474885343,0.12570230133464735,0.8645251129236529
test,7,14,-0.010000000000000009,0.01149794614331356,0.14292360986502434,0.062212097960426475,0.4352821624025518
test,7,15,-0.010000000000000009,0.011005476951163854,0.13550738018316996,0.05369061698951544,0.3962191352009019
