phase,horizon_h,family,subset,regime,n,hits,mae_m,bias_m,max_error_m
test,5,native_only,level_ge_7m,above_train_max,7,0,3.516543353943903,-3.516543353943903,4.864267949721896
test,5,native_only,level_ge_7m,below_train_min,28,12,0.6594398403112474,0.6594398403112474,1.3474052380117687
test,5,native_only,level_ge_7m,within_train_range,201,158,0.3246182189117253,-0.08450780026087268,2.772054243700679
test,5,reservoir_only,all,above_train_max,7,0,3.9013294753177794,-3.9013294753177794,5.30080017914104
test,5,reservoir_only,all,below_train_min,28,13,0.6736902098425438,0.6736902098425438,1.354798923108115
test,5,reservoir_only,all,within_train_range,1894,1835,0.13393387934250664,-0.004029521138751143,2.9490271091250344
test,5,reservoir_only,level_ge_7m,above_train_max,7,0,3.9013294753177794,-3.9013294753177794,5.30080017914104
test,5,reservoir_only,level_ge_7m,below_train_min,28,13,0.6736902098425438,0.6736902098425438,1.354798923108115
test,5,reservoir_only,level_ge_7m,within_train_range,201,165,0.33968261688568735,-0.07768627108163158,2.9490271091250344
test,5,combined,all,above_train_max,7,0,3.1873152936237195,-3.1873152936237195,4.5792269487745365
test,5,combined,all,below_train_min,28,13,0.6545206578080924,0.6545206578080924,1.3202495726238652
test,5,combined,all,within_train_range,1894,1819,0.13333437447642327,-0.007273911985365832,2.525579230439896
test,5,combined,level_ge_7m,above_train_max,7,0,3.1873152936237195,-3.1873152936237195,4.5792269487745365
test,5,combined,level_ge_7m,below_train_min,28,13,0.6545206578080924,0.6545206578080924,1.3202495726238652
test,5,combined,level_ge_7m,within_train_range,201,159,0.326050948016571,-0.0677294933800687,2.525579230439896
validation,6,baseline,all,above_train_max,0,0,,,
validation,6,baseline,all,below_train_min,0,0,,,
validation,6,baseline,all,within_train_range,6472,6362,0.09184695432331863,0.004190825079394967,1.3725742497007265
validation,6,baseline,level_ge_7m,above_train_max,0,0,,,
validation,6,baseline,level_ge_7m,below_train_min,0,0,,,
validation,6,baseline,level_ge_7m,within_train_range,28,24,0.2646368422238095,-0.09486468404351715,1.2347849334245478
validation,6,native_only,all,above_train_max,0,0,,,
validation,6,native_only,all,below_train_min,0,0,,,
validation,6,native_only,all,within_train_range,6472,6316,0.10076218004330437,0.022632651609751902,2.0244281699561295
validation,6,native_only,level_ge_7m,above_train_max,0,0,,,
validation,6,native_only,level_ge_7m,below_train_min,0,0,,,
validation,6,native_only,level_ge_7m,within_train_range,28,24,0.25942692878071005,0.057479568882625225,1.3088111913836835
validation,6,reservoir_only,all,above_train_max,0,0,,,
validation,6,reservoir_only,all,below_train_min,0,0,,,
validation,6,reservoir_only,all,within_train_range,6472,6372,0.09329451754763744,0.010314798454212966,1.2510665055366976
validation,6,reservoir_only,level_ge_7m,above_train_max,0,0,,,
validation,6,reservoir_only,level_ge_7m,below_train_min,0,0,,,
validation,6,reservoir_only,level_ge_7m,within_train_range,28,24,0.23579648588879418,-0.052297719273457534,0.9338539197635276
validation,6,combined,all,above_train_max,0,0,,,
validation,6,combined,all,below_train_min,0,0,,,
validation,6,combined,all,within_train_range,6472,6318,0.10266487426824164,0.020578281718544207,1.89953444230472
validation,6,combined,level_ge_7m,above_train_max,0,0,,,
validation,6,combined,level_ge_7m,below_train_min,0,0,,,
validation,6,combined,level_ge_7m,within_train_range,28,23,0.24617007127288898,-0.01414979048772039,1.232737780328299
test,6,baseline,all,above_train_max,7,0,4.9601409745683345,-4.9601409745683345,5.9593284382110525
test,6,baseline,all,below_train_min,30,10,0.7856007752296782,0.7856007752296782,1.6231140856625377
test,6,baseline,all,within_train_range,1890,1749,0.18290737852774616,-0.013163039978238646,3.026035530566177
test,6,baseline,level_ge_7m,above_train_max,7,0,4.9601409745683345,-4.9601409745683345,5.9593284382110525
