phase,subset,family,lead_h,n,mae_m3_s,bias_m3_s,rmse_m3_s,p90_absolute_m3_s,p98_absolute_m3_s,max_absolute_m3_s
test,all,without_monte,4,1964,122.2382677082258,19.42215590948511,193.08195878196068,259.5526283360112,422.29474754783945,1777.205341447494
test,all,without_monte,5,1963,132.36340480595328,21.357731976080096,216.8395139296914,268.3292353576474,442.71938690539173,2206.661283322167
test,all,without_monte,6,1962,140.29143453136925,22.117031262737115,241.87239377641413,273.6281827146333,488.43717607292194,2648.677827312573
test,all,without_monte,7,1961,149.83711119739672,22.339679092014695,271.3273777571507,286.1089491878097,544.8538864129703,2962.6653236999914
test,all,without_monte,8,1960,160.4047844782047,21.61836640130013,303.7680601844408,302.3156601450681,614.3381072114357,3197.7851047331196
test,all,without_monte,9,1959,171.46766510586426,20.619423180139194,337.48033196480094,316.4737570953886,710.2542708078215,3584.2895704987786
test,all,without_monte,10,1958,183.60629798941602,19.103198249100778,373.7118225968153,338.12678106284704,814.4723955415556,3913.7916489050485
test,all,without_monte,11,1957,196.85741948664847,17.526111787294553,411.21660149090815,349.7166713356235,865.4640004547042,4720.895615164081
test,high_flow,level_and_slopes,0,271,99.45793414733377,-6.4336978307062065,204.09013344511882,235.6382943546305,613.9010592961685,1523.6076148146713
test,high_flow,level_and_slopes,1,271,174.22739451345294,-12.398501091501496,429.0590455694105,301.93209469611907,1572.6103980603616,3318.9113211568038
test,high_flow,level_and_slopes,2,271,232.45900834111026,-18.032878138352572,626.0442795348979,385.48250636554894,2162.2257504086847,4974.78676699494
test,high_flow,level_and_slopes,3,271,285.12194358787775,-30.229169229626937,794.320484327895,461.4646974248044,2312.411875603815,6252.761972639042
test,high_flow,level_and_slopes,4,271,325.3143780783397,-48.17553029232838,849.8620333160644,548.0700512329249,2414.597450767971,6263.526788935249
test,high_flow,level_and_slopes,5,271,365.4908734155909,-69.56382146335488,913.5274338420323,659.9313127081458,2524.2893559197164,6992.49466895593
