phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
test,2,all,complete24,baseline,1352,1348,1348,0,1344,0.9970326409495549,0.053297613412265514,0.005963970459677046,0.29398494552557974,0.6832383971546312
test,2,all,complete24,candidate,1352,1348,1348,0,1341,0.994807121661721,0.0533783901808931,0.00679127657317018,0.2865193572936602,0.688944803829243
test,2,all,missing24,baseline,614,595,588,7,570,0.9693877551020408,0.0912791878197425,0.00011167199996294076,0.5937172116659043,2.391642968883237
test,2,all,missing24,candidate,614,595,588,7,571,0.9710884353741497,0.0890829213985302,-0.0010733826298616985,0.5897651144863091,2.3815057082775617
test,2,level_ge_7m,full_schedule,baseline,1966,237,236,1,226,0.9576271186440678,0.14080555892067434,-0.01685794683944374,0.7206749833247109,2.391642968883237
test,2,level_ge_7m,full_schedule,candidate,1966,237,236,1,223,0.9449152542372882,0.13837474472345865,-0.015218486562221462,0.705639741940064,2.3815057082775617
test,2,level_ge_7m,complete24,baseline,1352,143,143,0,143,1.0,0.09353465862303692,-0.0047145006228434035,0.45452409334356225,0.4995732991488282
test,2,level_ge_7m,complete24,candidate,1352,143,143,0,140,0.9790209790209791,0.0926795241147781,-8.528550478213394e-06,0.4802465720449726,0.5541767026579638
test,2,level_ge_7m,missing24,baseline,614,94,93,1,83,0.8924731182795699,0.21349092174392337,-0.03553012758109802,1.7326652401928335,2.391642968883237
test,2,level_ge_7m,missing24,candidate,614,94,93,1,83,0.8924731182795699,0.20863728824003203,-0.03860584135447183,1.7284519872110602,2.3815057082775617
test,3,all,full_schedule,baseline,1965,1942,1933,9,1892,0.9787894464562855,0.0885606249956946,-0.004857178363973924,0.50354293311541,3.6279650750962045
test,3,all,full_schedule,candidate,1965,1942,1933,9,1894,0.9798241076047595,0.09058119292812576,-0.00575031737802455,0.4975491078371833,3.6504885160225875
test,3,all,complete24,baseline,1351,1346,1346,0,1332,0.9895988112927192,0.0674144865518803,0.000423670124123589,0.3501731877784309,0.8770503013602564
test,3,all,complete24,candidate,1351,1346,1346,0,1335,0.9918276374442794,0.06955414480846299,-0.0001376695680038815,0.36849135111844183,0.923179925730798
test,3,all,missing24,baseline,614,596,587,9,560,0.9540034071550255,0.1370490446641342,-0.016966244914194118,0.8402471991527115,3.6279650750962045
test,3,all,missing24,candidate,614,596,587,9,559,0.9522998296422487,0.13879653665736955,-0.01862020486062731,0.841556158777142,3.6504885160225875
test,3,level_ge_7m,full_schedule,baseline,1965,237,236,1,206,0.8728813559322034,0.24789990977062584,-0.048310025985377154,1.4345885426753127,3.6279650750962045
test,3,level_ge_7m,full_schedule,candidate,1965,237,236,1,208,0.8813559322033898,0.2548347702704609,-0.06217818613474608,1.5186383756054984,3.6504885160225875
test,3,level_ge_7m,complete24,baseline,1351,142,142,0,132,0.9295774647887324,0.1548545442650498,-0.007479130652846283,0.6793334211907263,0.8770503013602564
test,3,level_ge_7m,complete24,candidate,1351,142,142,0,134,0.9436619718309859,0.16196676413950564,-0.018603362454961123,0.7130477800658612,0.923179925730798
test,3,level_ge_7m,missing24,baseline,614,95,94,1,74,0.7872340425531915,0.388457802342879,-0.10999074021111531,2.963040843117318,3.6279650750962045
test,3,level_ge_7m,missing24,candidate,614,95,94,1,74,0.7872340425531915,0.39512473697892525,-0.1280039836084638,2.9728493066238926,3.6504885160225875
test,4,all,full_schedule,baseline,1964,1941,1931,10,1869,0.967892283790782,0.11856617819188328,-0.005013260239169192,0.6961051458648697,4.36887111857405
test,4,all,full_schedule,candidate,1964,1941,1931,10,1873,0.969963749352667,0.11641433691870455,-0.0068272785998119674,0.6519098051500326,4.409130923412608
test,4,all,complete24,baseline,1350,1345,1345,0,1315,0.9776951672862454,0.09339812145227884,0.006443017884010247,0.5247847864728936,1.0800715981406084
test,4,all,complete24,candidate,1350,1345,1345,0,1320,0.9814126394052045,0.09146026644429539,0.004550826568002067,0.4701603527632504,1.0545799227320405
test,4,all,missing24,baseline,614,596,586,10,554,0.9453924914675768,0.17633245176657258,-0.031307960027012784,1.1108589078859334,4.36887111857405
test,4,all,missing24,candidate,614,596,586,10,553,0.9436860068259386,0.17368946454341508,-0.032942554112968765,1.1044504181215866,4.409130923412608
test,4,level_ge_7m,full_schedule,baseline,1964,237,236,1,190,0.8050847457627118,0.3543312342590592,-0.08477953105239196,2.1083050423975354,4.36887111857405
test,4,level_ge_7m,full_schedule,candidate,1964,237,236,1,191,0.809322033898305,0.3541059550010087,-0.09058864024086481,2.2267615762268638,4.409130923412608
test,4,level_ge_7m,complete24,baseline,1350,141,141,0,120,0.851063829787234,0.2336487292599179,-0.0119461484180623,0.8618401470654388,0.9873763542196929
test,4,level_ge_7m,complete24,candidate,1350,141,141,0,121,0.8581560283687943,0.23262501398213772,-0.018627929990228834,0.8614795737334136,1.0545799227320405
test,4,level_ge_7m,missing24,baseline,614,96,95,1,70,0.7368421052631579,0.5334494785209426,-0.19287960422544967,3.519941310478106,4.36887111857405
test,4,level_ge_7m,missing24,candidate,614,96,95,1,70,0.7368421052631579,0.5344092464079646,-0.1973934838760193,3.5592908732152977,4.409130923412608
test,5,all,full_schedule,baseline,1963,1940,1929,11,1841,0.9543805080352514,0.1552053131498119,-0.016361814421995826,0.8657893770377406,5.080989872373912
test,5,all,full_schedule,candidate,1963,1940,1929,11,1848,0.9580093312597201,0.15543981320763256,-0.008334833327334312,0.8521614912451926,5.30080017914104
