phase,profile,horizon_h,population,subset,compared_family,matching_control,observed_targets,pairs,failures,baseline_hits,compared_hits,hits_delta,baseline_mae_m,compared_mae_m,mae_m_delta,baseline_bias_m,compared_bias_m,bias_m_delta,baseline_p98_abs_m,compared_p98_abs_m,p98_abs_m_delta,baseline_max_abs_m,compared_max_abs_m,max_abs_m_delta
test,A,5,full_schedule,all,mixed_profile_candidate,profile_A_control,1940,1929,11,1856,1845,-11,0.1529170486007049,0.1592206798094355,0.006303631208730592,-0.014256550282812017,-0.012761179648897093,0.0014953706339149234,0.8160040983192122,0.807484587166888,-0.008519511152324188,5.585721334594157,5.4406707406415205,-0.14505059395263675
test,A,5,full_schedule,all,profile_B_control,profile_A_control,1940,1929,11,1856,1838,-18,0.1529170486007049,0.16570596013149794,0.012788911530793035,-0.014256550282812017,-0.021350561904082434,-0.007094011621270418,0.8160040983192122,0.8906871392823486,0.07468304096313638,5.585721334594157,5.577554864047173,-0.008166470546984606
test,A,5,full_schedule,level_ge_7m,mixed_profile_candidate,profile_A_control,237,236,1,182,178,-4,0.48868542525858694,0.4876970563733857,-0.0009883688852012629,-0.12688934444571706,-0.12348052797019198,0.0034088164755250866,3.2389097868595345,3.195954585959318,-0.04295520090021654,5.585721334594157,5.4406707406415205,-0.14505059395263675
test,A,5,full_schedule,level_ge_7m,profile_B_control,profile_A_control,237,236,1,182,176,-6,0.48868542525858694,0.493738860571485,0.005053435312898091,-0.12688934444571706,-0.14334329978595828,-0.016453955340241216,3.2389097868595345,3.3334525282887677,0.09454274142923325,5.585721334594157,5.577554864047173,-0.008166470546984606
test,A,5,complete24,all,mixed_profile_candidate,profile_A_control,1344,1344,0,1312,1304,-8,0.1266830212115693,0.13267683454329443,0.005993813331725134,0.0028053367910027918,-0.0004638474509651317,-0.0032691842419679236,0.5729876561764257,0.576868627167878,0.0038809709914523483,1.4578522016392146,1.3596246628316564,-0.09822753880755819
test,A,5,complete24,all,profile_B_control,profile_A_control,1344,1344,0,1312,1295,-17,0.1266830212115693,0.1382361068760217,0.0115530856644524,0.0028053367910027918,-0.005357143374495761,-0.008162480165498552,0.5729876561764257,0.663436915853125,0.09044925967669937,1.4578522016392146,1.234264047949761,-0.2235881536894535
test,A,5,complete24,level_ge_7m,mixed_profile_candidate,profile_A_control,140,140,0,118,115,-3,0.3127618528913069,0.31275314952584227,-8.703365464657331e-06,-0.0023221195332066963,-0.0020146009257633133,0.00030751860744338303,1.1292140231818888,1.1453387088641647,0.016124685682275874,1.4578522016392146,1.3596246628316564,-0.09822753880755819
test,A,5,complete24,level_ge_7m,profile_B_control,profile_A_control,140,140,0,118,111,-7,0.3127618528913069,0.311579229058022,-0.0011826238332849348,-0.0023221195332066963,-0.011953739147684488,-0.00963161961447779,1.1292140231818888,1.1322539613127491,0.0030399381308603424,1.4578522016392146,1.234264047949761,-0.2235881536894535
test,A,5,missing24,all,mixed_profile_candidate,profile_A_control,596,585,11,544,541,-3,0.21318804485882156,0.22020346277985176,0.007015417921030193,-0.053455142124191696,-0.04101351208312027,0.012441630041071426,1.5959644326537663,1.7639979112868258,0.1680334786330595,5.585721334594157,5.4406707406415205,-0.14505059395263675
test,A,5,missing24,all,profile_B_control,profile_A_control,596,585,11,544,543,-1,0.21318804485882156,0.2288161870979254,0.01562814223910383,-0.053455142124191696,-0.05809441575667132,-0.0046392736324796235,1.5959644326537663,1.7958234491853222,0.1998590165315559,5.585721334594157,5.577554864047173,-0.008166470546984606
