dataset,period,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
original,validation,3,complete24,level_ge_7m,normalized_plus2020,5912,26,28,28,0,26,0.9285714285714286,0.9285714285714286,0.14103129977389464,0.09994658952576055,0.5621810374712696,0.6137224301475488
original,validation,3,missing24,all,raw_original,637,8,629,590,39,583,0.988135593220339,0.9268680445151033,0.09840263197777305,0.03949709393990832,0.4597995446900129,0.9561634130213972
original,validation,3,missing24,all,raw_plus2020,637,8,629,590,39,566,0.9593220338983051,0.8998410174880763,0.11785809935955158,-0.006824312806828807,0.6359195125056528,1.5437613425998904
original,validation,3,missing24,all,normalized_original,637,8,629,590,39,581,0.9847457627118644,0.9236883942766295,0.0953510974448364,0.03385361353206883,0.452103797747238,0.9661699313222332
original,validation,3,missing24,all,normalized_plus2020,637,8,629,590,39,566,0.9593220338983051,0.8998410174880763,0.11925676487655719,-0.001707922337047366,0.6232805355994051,1.4097378439307717
original,validation,3,missing24,level_ge_7m,raw_original,637,8,0,0,0,0,,,,,,
original,validation,3,missing24,level_ge_7m,raw_plus2020,637,8,0,0,0,0,,,,,,
original,validation,3,missing24,level_ge_7m,normalized_original,637,8,0,0,0,0,,,,,,
original,validation,3,missing24,level_ge_7m,normalized_plus2020,637,8,0,0,0,0,,,,,,
original,validation,4,full_schedule,all,raw_original,6548,34,6514,6474,40,6431,0.9933580475749151,0.987258213079521,0.06104765754702062,0.014452144778230811,0.34029778549374,1.8219056508267162
original,validation,4,full_schedule,all,raw_plus2020,6548,34,6514,6474,40,6398,0.9882607352486871,0.9821922014123426,0.0691378063439237,0.0006965687631171053,0.3526391332466202,1.7827902731617415
original,validation,4,full_schedule,all,normalized_original,6548,34,6514,6474,40,6432,0.9935125115848007,0.987411728584587,0.06123232267757822,0.013718337307140342,0.34295527429018813,1.8541260734088905
original,validation,4,full_schedule,all,normalized_plus2020,6548,34,6514,6474,40,6405,0.9893419833178869,0.9832668099478047,0.06874768131543231,-0.00017920262012547088,0.3395334266768579,1.700231612007255
original,validation,4,full_schedule,level_ge_7m,raw_original,6548,34,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16646123882897323,0.001845246880732779,0.532564298850716,0.560207741268413
original,validation,4,full_schedule,level_ge_7m,raw_plus2020,6548,34,28,28,0,23,0.8214285714285714,0.8214285714285714,0.2921228861579999,0.1828676187884579,0.6708210096405526,0.7093898649565311
original,validation,4,full_schedule,level_ge_7m,normalized_original,6548,34,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16618220345897536,0.01827153500635673,0.5354375461168059,0.5385516740909324
original,validation,4,full_schedule,level_ge_7m,normalized_plus2020,6548,34,28,28,0,25,0.8928571428571429,0.8928571428571429,0.25929759495195964,0.14359885934496192,0.6240748519122304,0.6594312584086452
original,validation,4,complete24,all,raw_original,5912,32,5880,5880,0,5859,0.9964285714285714,0.9964285714285714,0.051990217427198344,0.007082108235585423,0.26578377883297893,1.8219056508267162
original,validation,4,complete24,all,raw_plus2020,5912,32,5880,5880,0,5846,0.9942176870748299,0.9942176870748299,0.06029086401861897,0.006447970303975127,0.2898970845121462,1.6104539350157747
original,validation,4,complete24,all,normalized_original,5912,32,5880,5880,0,5859,0.9964285714285714,0.9964285714285714,0.05211670900648635,0.006206972519927409,0.26907598983171893,1.8541260734088905
