phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,weighted_hits,hits_delta,reference_mae_m,weighted_mae_m,mae_m_delta,reference_bias_m,weighted_bias_m,bias_m_delta,reference_p98_abs_m,weighted_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,weighted_max_abs_m,max_abs_m_delta
validation,B,6,full_schedule,level_ge_7m,profile_B_control,matching_profile,28,28,0,24,22,-2,0.24801770801555317,0.2632518400155964,0.015234132000043199,-0.013471246534201635,-0.10022607197055201,-0.08675482543635038,0.7418213286467621,0.78649241075458,0.044671082107817894,0.8497199323401672,0.856824423490977,0.0071044911508098
validation,B,6,complete24,all,mixed_profile_candidate,primary_weight_9m,5907,5907,0,5814,5817,3,0.0938910493326347,0.09381434184770016,-7.670748493454616e-05,-0.0014269781141368605,-0.005237641108870267,-0.003810662994733407,0.4349737444883165,0.4590966479052261,0.02412290341690959,1.380740974830188,1.4712964151441312,0.09055544031394325
validation,B,6,complete24,all,profile_A_control,cross_profile,5907,5907,0,5795,5817,22,0.10263992142331911,0.09381434184770016,-0.008825579575618955,-0.0008428947266035446,-0.005237641108870267,-0.004394746382266722,0.4917284692207623,0.4590966479052261,-0.032631821315536214,1.418925588961958,1.4712964151441312,0.05237082618217315
validation,B,6,complete24,all,profile_B_control,matching_profile,5907,5907,0,5822,5817,-5,0.09120507745949245,0.09381434184770016,0.002609264388207702,0.004812783140366463,-0.005237641108870267,-0.01005042424923673,0.44551329635107,0.4590966479052261,0.013583351554156076,1.3754103196181582,1.4712964151441312,0.09588609552597305
validation,B,6,complete24,level_ge_7m,mixed_profile_candidate,primary_weight_9m,28,28,0,23,22,-1,0.234415440827118,0.2632518400155964,0.028836399188478384,-0.0018804947026945002,-0.10022607197055201,-0.09834557726785752,0.710952331130356,0.78649241075458,0.07554007962422393,0.8878534127507605,0.856824423490977,-0.03102898925978348
validation,B,6,complete24,level_ge_7m,profile_A_control,cross_profile,28,28,0,20,22,2,0.3708771430366556,0.2632518400155964,-0.10762530302105922,-0.04030760076389365,-0.10022607197055201,-0.059918471206658365,1.0841904997778096,0.78649241075458,-0.2976980890232296,1.3132773043152648,0.856824423490977,-0.4564528808242878
validation,B,6,complete24,level_ge_7m,profile_B_control,matching_profile,28,28,0,24,22,-2,0.24801770801555317,0.2632518400155964,0.015234132000043199,-0.013471246534201635,-0.10022607197055201,-0.08675482543635038,0.7418213286467621,0.78649241075458,0.044671082107817894,0.8497199323401672,0.856824423490977,0.0071044911508098
validation,B,6,missing24,all,mixed_profile_candidate,primary_weight_9m,605,575,30,519,515,-4,0.18631671978145808,0.18987838928841502,0.003561669506956938,0.038089431716541576,0.04297672801888782,0.004887296302346245,0.95132760195731,0.914488154531539,-0.036839447425771055,1.475247979291903,1.3195921533843133,-0.15565582590758975
validation,B,6,missing24,all,profile_A_control,cross_profile,605,575,30,518,515,-3,0.19077695352385712,0.18987838928841502,-0.0008985642354421008,0.036128427196548955,0.04297672801888782,0.006848300822338865,0.8162908378964646,0.914488154531539,0.09819731663507436,1.4543044580973832,1.3195921533843133,-0.13471230471306983
validation,B,6,missing24,all,profile_B_control,matching_profile,605,575,30,513,515,2,0.19263084199346575,0.18987838928841502,-0.0027524527050507286,0.04666675247799523,0.04297672801888782,-0.003690024459107412,0.9196577490828756,0.914488154531539,-0.005169594551336587,1.3836569377257621,1.3195921533843133,-0.0640647843414488
validation,B,6,missing24,level_ge_7m,mixed_profile_candidate,primary_weight_9m,0,0,0,0,0,0,,,,,,,,,,,,
validation,B,6,missing24,level_ge_7m,profile_A_control,cross_profile,0,0,0,0,0,0,,,,,,,,,,,,
validation,B,6,missing24,level_ge_7m,profile_B_control,matching_profile,0,0,0,0,0,0,,,,,,,,,,,,
validation,B,7,full_schedule,all,mixed_profile_candidate,primary_weight_9m,6511,6481,30,6244,6239,-5,0.12888867120541123,0.1352558065707387,0.0063671353653274865,0.0282472072947643,0.03530002700008401,0.007052819705319707,0.6384378763200604,0.6418889656296766,0.003451089309616129,1.7269704230562064,1.691654082826549,-0.03531634022965746
validation,B,7,full_schedule,all,profile_A_control,cross_profile,6511,6481,30,6251,6239,-12,0.13063814725693285,0.1352558065707387,0.004617659313805866,0.032965767883194524,0.03530002700008401,0.0023342591168894825,0.6165092970362379,0.6418889656296766,0.025379668593438653,1.8047254700258974,1.691654082826549,-0.1130713871993485
validation,B,7,full_schedule,all,profile_B_control,matching_profile,6511,6481,30,6236,6239,3,0.13330361598357807,0.1352558065707387,0.001952190587160646,0.03144705862428868,0.03530002700008401,0.0038529683757953237,0.6408497082730044,0.6418889656296766,0.0010392573566722074,1.9469233922814213,1.691654082826549,-0.25526930945487236
validation,B,7,full_schedule,level_ge_7m,mixed_profile_candidate,primary_weight_9m,28,28,0,18,17,-1,0.4560700649693484,0.4387530906333366,-0.01731697433601176,0.20504340381553315,0.23264423809520682,0.027600834279673664,1.3872288447657353,1.3315597971854192,-0.0556690475803161,1.4090351708705535,1.4177064055013142,0.008671234630760694
validation,B,7,full_schedule,level_ge_7m,profile_A_control,cross_profile,28,28,0,15,17,2,0.5020032912264474,0.4387530906333366,-0.06325020059311076,0.3184670394002619,0.23264423809520682,-0.08582280130505507,1.3692127537798813,1.3315597971854192,-0.037652956594462106,1.5851252091346923,1.4177064055013142,-0.16741880363337813
validation,B,7,full_schedule,level_ge_7m,profile_B_control,matching_profile,28,28,0,21,17,-4,0.4016508110801708,0.4387530906333366,0.03710227955316581,0.2531650575835825,0.23264423809520682,-0.02052081948837567,1.3506980642690456,1.3315597971854192,-0.019138267083626426,1.5547784950117238,1.4177064055013142,-0.1370720895104096
validation,B,7,complete24,all,mixed_profile_candidate,primary_weight_9m,5906,5906,0,5745,5739,-6,0.11928700964368893,0.12608229102360366,0.006795281379914725,0.028266009960067468,0.034629721812195466,0.006363711852127998,0.5643583402551434,0.5810449013134199,0.016686561058276483,1.7269704230562064,1.5777251419910818,-0.14924528106512458
