nominal_lead_h,origin_trend,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
10,falling,julho_levels,all,835,834,1,0.9988023952095808,482,0.5779376498800959,0.5077398617456812,0.014055041490289402,0.8947655164104766,1.6286547008927483,5.106731355608688
10,falling,reference,level_ge_7m,83,82,1,0.9879518072289156,29,0.35365853658536583,0.9743190677835589,0.5461787025448361,2.120663196067543,4.644067420752443,5.7443205338491365
10,falling,julho_levels,level_ge_7m,83,82,1,0.9879518072289156,30,0.36585365853658536,0.940886063517353,0.5835049232122298,1.9434882219553502,4.141789123131776,5.106731355608688
10,stable,reference,all,622,622,0,1.0,403,0.6479099678456591,0.4783301323400682,0.07552822738055835,0.9731133446392988,1.732015951467496,5.0351078741646615
10,stable,julho_levels,all,622,622,0,1.0,423,0.680064308681672,0.4688903871175974,0.18093624727368476,1.034027694123606,1.7591229901070358,4.473982040224118
10,stable,reference,level_ge_7m,35,35,0,1.0,13,0.37142857142857144,1.2082172824213806,0.03313223892530401,2.6573884451324763,4.53399438311391,5.0351078741646615
10,stable,julho_levels,level_ge_7m,35,35,0,1.0,14,0.4,1.1553551557522441,0.08637801508549028,2.4073609791452193,4.066521353625828,4.473982040224118
10,unknown,reference,all,25,9,16,0.36,5,0.5555555555555556,0.6549055549399498,-0.2082623065324358,1.3319131728893214,1.3846229029822892,1.397800335505531
10,unknown,julho_levels,all,25,9,16,0.36,4,0.4444444444444444,0.6638165255165587,0.06833790444642994,1.2102887573938967,1.5623403994344085,1.6503533099445367
10,unknown,reference,level_ge_7m,2,1,1,0.5,0,0.0,1.397800335505531,1.397800335505531,1.397800335505531,1.397800335505531,1.397800335505531
10,unknown,julho_levels,level_ge_7m,2,1,1,0.5,0,0.0,1.6503533099445367,1.6503533099445367,1.6503533099445367,1.6503533099445367,1.6503533099445367
