phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,aged_hits,hits_delta,reference_mae_m,aged_mae_m,mae_m_delta,reference_bias_m,aged_bias_m,bias_m_delta,reference_p98_abs_m,aged_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,aged_max_abs_m,max_abs_m_delta
test,A,5,full_schedule,all,profile_A_control,matching_profile,1940,1929,11,1856,1843,-13,0.1529170486007049,0.15896029217930438,0.006043243578599478,-0.014256550282812017,-0.011241467937370422,0.0030150823454415943,0.8160040983192122,0.7919055043392701,-0.024098593979942073,5.585721334594157,5.651867985266682,0.06614665067252457
test,A,5,full_schedule,all,profile_B_control,cross_profile,1940,1929,11,1838,1843,5,0.16570596013149794,0.15896029217930438,-0.006745667952193557,-0.021350561904082434,-0.011241467937370422,0.010109093966712012,0.8906871392823486,0.7919055043392701,-0.09878163494307846,5.577554864047173,5.651867985266682,0.07431312121950917
test,A,5,full_schedule,level_ge_7m,mixed_profile_candidate,primary_unaged,237,236,1,178,177,-1,0.4876970563733857,0.4879859455386559,0.0002888891652702008,-0.12348052797019198,-0.14003350130826786,-0.016552973338075885,3.195954585959318,3.428023235996021,0.23206865003670307,5.4406707406415205,5.651867985266682,0.21119724462516132
test,A,5,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,182,177,-5,0.48868542525858694,0.4879859455386559,-0.0006994797199310621,-0.12688934444571706,-0.14003350130826786,-0.013144156862550799,3.2389097868595345,3.428023235996021,0.18911344913648653,5.585721334594157,5.651867985266682,0.06614665067252457
test,A,5,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,176,177,1,0.493738860571485,0.4879859455386559,-0.005752915032829153,-0.14334329978595828,-0.14003350130826786,0.0033097984776904177,3.3334525282887677,3.428023235996021,0.09457070770725329,5.577554864047173,5.651867985266682,0.07431312121950917
test,A,5,complete24,all,mixed_profile_candidate,primary_unaged,1344,1344,0,1304,1304,0,0.13267683454329443,0.1308919912183336,-0.0017848433249608442,-0.0004638474509651317,0.0015761892209889689,0.0020400366719541007,0.576868627167878,0.5684634971411962,-0.008405130026681862,1.3596246628316564,1.3057770342348278,-0.05384762859682857
test,A,5,complete24,all,profile_A_control,matching_profile,1344,1344,0,1312,1304,-8,0.1266830212115693,0.1308919912183336,0.00420897000676429,0.0028053367910027918,0.0015761892209889689,-0.001229147570013823,0.5729876561764257,0.5684634971411962,-0.004524159035229514,1.4578522016392146,1.3057770342348278,-0.15207516740438676
test,A,5,complete24,all,profile_B_control,cross_profile,1344,1344,0,1295,1304,9,0.1382361068760217,0.1308919912183336,-0.007344115657688111,-0.005357143374495761,0.0015761892209889689,0.00693333259548473,0.663436915853125,0.5684634971411962,-0.09497341871192888,1.234264047949761,1.3057770342348278,0.07151298628506675
test,A,5,complete24,level_ge_7m,mixed_profile_candidate,primary_unaged,140,140,0,115,114,-1,0.31275314952584227,0.30601452714154515,-0.006738622384297122,-0.0020146009257633133,-0.01087863738871613,-0.008864036462952817,1.1453387088641647,1.1519295699339593,0.0065908610697946735,1.3596246628316564,1.2776719254920028,-0.08195273733965358
test,A,5,complete24,level_ge_7m,profile_A_control,matching_profile,140,140,0,118,114,-4,0.3127618528913069,0.30601452714154515,-0.006747325749761779,-0.0023221195332066963,-0.01087863738871613,-0.008556517855509434,1.1292140231818888,1.1519295699339593,0.022715546752070548,1.4578522016392146,1.2776719254920028,-0.18018027614721177
