phase,profile,horizon_h,subset,family,reference,observed_targets,pairs,failures,old_hits,new_hits,delta_hits,old_mae_m,new_mae_m,old_max_m,new_max_m
test,B,5,all,linear_trend_hybrid,profile_B_control,1940,1930,10,1836,1856,20,0.16151947820922183,0.13954758418651747,5.909113440846849,4.020312098884585
test,B,5,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,169,152,-17,0.5232204895845944,0.523494642767101,5.651905624290726,5.118198422853479
test,B,5,level_ge_7m,linear_trend_only,profile_B_control,237,236,1,171,152,-19,0.5244969789310342,0.523494642767101,5.909113440846849,5.118198422853479
test,B,5,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,169,184,15,0.5232204895845944,0.391132630544404,5.651905624290726,4.020312098884585
test,B,5,level_ge_7m,linear_trend_hybrid,profile_B_control,237,236,1,171,184,13,0.5244969789310342,0.391132630544404,5.909113440846849,4.020312098884585
test,B,6,all,linear_trend_only,mixed_profile_candidate,1939,1928,11,1773,1653,-120,0.21340427297382084,0.2668371700004365,6.505761062809958,5.815807061841299
test,B,6,all,linear_trend_only,profile_B_control,1939,1928,11,1750,1653,-97,0.21317542166512082,0.2668371700004365,6.670378362089796,5.815807061841299
test,B,6,all,linear_trend_hybrid,mixed_profile_candidate,1939,1928,11,1773,1777,4,0.21340427297382084,0.18138655532868816,6.505761062809958,4.521595361686964
test,B,6,all,linear_trend_hybrid,profile_B_control,1939,1928,11,1750,1777,27,0.21317542166512082,0.18138655532868816,6.670378362089796,4.521595361686964
test,B,6,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,166,120,-46,0.6355351757922351,0.6455657428130104,6.505761062809958,5.815807061841299
test,B,6,level_ge_7m,linear_trend_only,profile_B_control,237,236,1,154,120,-34,0.6422930624109834,0.6455657428130104,6.670378362089796,5.815807061841299
test,B,6,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,166,161,-5,0.6355351757922351,0.4733855013877044,6.505761062809958,4.521595361686964
test,B,6,level_ge_7m,linear_trend_hybrid,profile_B_control,237,236,1,154,161,7,0.6422930624109834,0.4733855013877044,6.670378362089796,4.521595361686964
test,B,7,all,linear_trend_only,mixed_profile_candidate,1938,1926,12,1696,1498,-198,0.2583193991455045,0.3391032788925488,5.3313065707358245,6.773159439596018
test,B,7,all,linear_trend_only,profile_B_control,1938,1926,12,1700,1498,-202,0.25766504216425856,0.3391032788925488,5.1786634640814455,6.773159439596018
test,B,7,all,linear_trend_hybrid,mixed_profile_candidate,1938,1926,12,1696,1702,6,0.2583193991455045,0.2304004865650925,5.3313065707358245,5.358201795650111
test,B,7,all,linear_trend_hybrid,profile_B_control,1938,1926,12,1700,1702,2,0.25766504216425856,0.2304004865650925,5.1786634640814455,5.358201795650111
test,B,7,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,139,104,-35,0.7026550688482773,0.7898698688663703,5.3313065707358245,6.773159439596018
test,B,7,level_ge_7m,linear_trend_only,profile_B_control,237,236,1,137,104,-33,0.6945705265097771,0.7898698688663703,5.1786634640814455,6.773159439596018
test,B,7,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,139,142,3,0.7026550688482773,0.533163481599504,5.3313065707358245,5.358201795650111
test,B,7,level_ge_7m,linear_trend_hybrid,profile_B_control,237,236,1,137,142,5,0.6945705265097771,0.533163481599504,5.1786634640814455,5.358201795650111
test,B,8,all,linear_trend_only,mixed_profile_candidate,1937,1924,13,1613,1320,-293,0.3194714389533474,0.42962555778195716,5.612418970754012,7.854616687343094
test,B,8,all,linear_trend_only,profile_B_control,1937,1924,13,1614,1320,-294,0.3227151591562414,0.42962555778195716,5.691275122778958,7.854616687343094
test,B,8,all,linear_trend_hybrid,mixed_profile_candidate,1937,1924,13,1613,1629,16,0.3194714389533474,0.29536093270469793,5.612418970754012,6.395365802846837
test,B,8,all,linear_trend_hybrid,profile_B_control,1937,1924,13,1614,1629,15,0.3227151591562414,0.29536093270469793,5.691275122778958,6.395365802846837
test,B,8,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,124,91,-33,0.8131928986298017,0.9571672484140102,5.612418970754012,7.854616687343094
test,B,8,level_ge_7m,linear_trend_only,profile_B_control,237,236,1,124,91,-33,0.8198516874678297,0.9571672484140102,5.691275122778958,7.854616687343094
test,B,8,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,124,134,10,0.8131928986298017,0.6313240667371949,5.612418970754012,6.395365802846837
test,B,8,level_ge_7m,linear_trend_hybrid,profile_B_control,237,236,1,124,134,10,0.8198516874678297,0.6313240667371949,5.691275122778958,6.395365802846837
test,B,9,all,linear_trend_only,mixed_profile_candidate,1936,1922,14,1529,1124,-405,0.38699866530660454,0.5311837327605653,6.137372342022433,8.721479345113403
test,B,9,all,linear_trend_only,profile_B_control,1936,1922,14,1497,1124,-373,0.39008256765275684,0.5311837327605653,6.1664049021704095,8.721479345113403
test,B,9,all,linear_trend_hybrid,mixed_profile_candidate,1936,1922,14,1529,1523,-6,0.38699866530660454,0.3500759604792437,6.137372342022433,6.554226638229206
test,B,9,all,linear_trend_hybrid,profile_B_control,1936,1922,14,1497,1523,26,0.39008256765275684,0.3500759604792437,6.1664049021704095,6.554226638229206
test,B,9,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,115,67,-48,0.9819884786576049,1.156345522604102,6.137372342022433,8.721479345113403
test,B,9,level_ge_7m,linear_trend_only,profile_B_control,237,236,1,113,67,-46,0.9670168119763842,1.156345522604102,6.1664049021704095,8.721479345113403
test,B,9,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,115,127,12,0.9819884786576049,0.7603372141794714,6.137372342022433,6.554226638229206
test,B,9,level_ge_7m,linear_trend_hybrid,profile_B_control,237,236,1,113,127,14,0.9670168119763842,0.7603372141794714,6.1664049021704095,6.554226638229206
test,B,10,all,linear_trend_only,mixed_profile_candidate,1935,1920,15,1427,978,-449,0.4278943953424952,0.6298461166130183,6.73028988534079,9.456436477197409
test,B,10,all,linear_trend_only,profile_B_control,1935,1920,15,1419,978,-441,0.4413798816356144,0.6298461166130183,6.4336778764475095,9.456436477197409
test,B,10,all,linear_trend_hybrid,mixed_profile_candidate,1935,1920,15,1427,1413,-14,0.4278943953424952,0.41953710396655564,6.73028988534079,7.927698095025839
test,B,10,all,linear_trend_hybrid,profile_B_control,1935,1920,15,1419,1413,-6,0.4413798816356144,0.41953710396655564,6.4336778764475095,7.927698095025839
