id,rede,nome,subbacia,registros_hoje,ultima_leitura,atraso_min,chuva_campo20,acumulado_campo21,nivel_campo45,codigo_usa_fonte_ANA_na_previsao_12h,telemetria_SIGMA_direta_na_previsao_12h,fonte
IFLORE242,wu,Flores da Cunha (738 m),Baixo Antas,172,2026-09-21T14:22:00-03:00,6.6,3.4,183.59999999999997,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IFLORE242.txt
ISOMAR32,wu,São Marcos (786 m),Alto Antas,171,2026-09-21T14:22:00-03:00,6.6,3.3,163.40000000000003,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/ISOMAR32.txt
IMUITO3,wu,Muitos Capões (843 m),Prata-Turvo,172,2026-09-21T14:21:00-03:00,7.6,18.0,18.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IMUITO3.txt
IGARIB22,wu,Garibaldi (670 m),Baixo Antas,157,2026-09-21T14:21:00-03:00,7.6,3.0,82.89999999999996,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IGARIB22.txt
IBENTO5,wu,Bento Gonçalves (620 m),Baixo Antas,172,2026-09-21T14:22:00-03:00,6.6,2.1,156.19999999999996,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IBENTO5.txt
ISOMAR20,wu,São Marcos - São José (788 m),Alto Antas,172,2026-09-21T14:22:00-03:00,6.6,1.5,112.79999999999995,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/ISOMAR20.txt
IANDRD3,wu,André da Rocha (701 m),Prata-Turvo,172,2026-09-21T14:21:00-03:00,7.6,18.5,60.7,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IANDRD3.txt
IBOMJE2,wu,Bom Jesus (1033 m),Alto Antas,171,2026-09-21T14:22:00-03:00,6.6,0.0,0.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IBOMJE2.txt
ISOJOS89,wu,São José dos Ausentes (1193 m),Alto Antas,172,2026-09-21T14:21:00-03:00,7.6,0.0,7.5,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/ISOJOS89.txt
IMUITO2,wu,Muitos Capões (823 m),Prata-Turvo,170,2026-09-21T14:20:00-03:00,8.6,20.6,44.5,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IMUITO2.txt
IFARRO1,wu,Farroupilha (766 m),Baixo Antas,170,2026-09-21T14:22:00-03:00,6.6,3.5,189.20000000000005,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IFARRO1.txt
ICOTIP1,wu,Cotiporã (596 m),Baixo Antas,171,2026-09-21T14:21:00-03:00,7.6,2.7,114.09999999999998,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/ICOTIP1.txt
ICAXIA4,wu,Caxias do Sul - Sagrada Família (780 m),Alto Antas,0,,,,,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/ICAXIA4.txt
IGARIB14,wu,Garibaldi - Alfândega (670 m),Baixo Antas,156,2026-09-21T14:22:00-03:00,6.6,2.7,98.59999999999998,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IGARIB14.txt
IVACAR13,wu,Vacaria - Pomar Boeno (873 m),Alto Antas,170,2026-09-21T14:21:00-03:00,7.6,13.2,50.99999999999998,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IVACAR13.txt
IRIOGRAN15,wu,Garibaldi (680 m),Baixo Antas,170,2026-09-21T14:22:00-03:00,6.6,1.5,32.5,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IRIOGRAN15.txt
IMUITO4,wu,Muitos Capões - Agro Varaschin (846 m),Prata-Turvo,172,2026-09-21T14:22:00-03:00,6.6,31.0,51.10000000000001,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IMUITO4.txt
IGARIB3,wu,Garibaldi - Sítio Ongaratto (607 m),Baixo Antas,171,2026-09-21T14:22:00-03:00,6.6,3.8,126.19999999999992,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IGARIB3.txt
IANTNI11,wu,Antônio Prado - Linha Gomercindo (612 m),Prata-Turvo,170,2026-09-21T14:22:00-03:00,6.6,4.0,128.99999999999994,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IANTNI11.txt
