phase,profile,horizon_h,subset,family,carreiro_availability,classified_rows,unknown_truth,observed_targets,pairs,failures,hits,sum_abs_error_m,mae_m,bias_m,max_abs_m
test,A,4,level_ge_7m,carreiro_missing_exposure,complete,146,5,141,141,0,126,33.48305876411306,0.23746850187314228,-0.01176643221078176,1.3416352072626214
test,A,4,level_ge_7m,carreiro_missing_exposure,partial,16,0,16,16,0,16,2.400589897027004,0.15003686856418774,0.07292102800960887,0.41809945948685545
test,A,4,level_ge_7m,carreiro_missing_exposure,fully_missing,98,18,80,79,1,56,49.956097900907935,0.632355669631746,-0.246900613795229,4.495891280183935
test,A,5,all,profile_A_control,complete,1403,5,1398,1393,5,1358,178.39513866767282,0.1280654261792339,-0.0004439806830352102,1.4578522016392146
test,A,5,all,profile_A_control,partial,16,0,16,16,0,16,2.901678773656549,0.18135492335353431,0.08028835598303863,0.49647124238248885
test,A,5,all,profile_A_control,fully_missing,544,18,526,520,6,482,113.68016930943035,0.218615710210443,-0.05416737326885568,5.585721334594157
test,A,5,all,profile_B_control,complete,1403,5,1398,1393,5,1344,191.97301956746554,0.1378126486485754,-0.006083175339427229,1.234264047949761
test,A,5,all,profile_B_control,partial,16,0,16,16,0,16,3.410410580689269,0.2131506612930793,0.056109146990820535,0.3935857186979721
test,A,5,all,profile_B_control,fully_missing,544,18,526,520,6,478,124.26336694550471,0.23896801335673984,-0.06463291734039621,5.577554864047173
test,A,5,all,mixed_profile_candidate,complete,1403,5,1398,1393,5,1352,184.79740146952696,0.13266145116261807,-0.0020781280000270524,1.3596246628316564
test,A,5,all,mixed_profile_candidate,partial,16,0,16,16,0,16,3.421115147733177,0.21381969673332357,0.08600724327548648,0.46316089317408426
test,A,5,all,mixed_profile_candidate,fully_missing,544,18,526,520,6,477,118.91817473514092,0.2286887975675787,-0.04441845986748575,5.4406707406415205
test,A,5,all,carreiro_missing_exposure,complete,1403,5,1398,1393,5,1349,185.79609387559793,0.1333783875632433,0.0010734193240420158,1.5014755080314046
test,A,5,all,carreiro_missing_exposure,partial,16,0,16,16,0,16,3.519719612241217,0.21998247576507607,0.034409979783685596,0.3827674274605073
test,A,5,all,carreiro_missing_exposure,fully_missing,544,18,526,520,6,476,116.8878157877708,0.22478426113032848,-0.03394403917815514,5.360948850950573
test,A,5,level_ge_7m,profile_A_control,complete,145,5,140,140,0,118,43.78665940478297,0.3127618528913069,-0.0023221195332066963,1.4578522016392146
test,A,5,level_ge_7m,profile_A_control,partial,16,0,16,16,0,16,2.901678773656549,0.18135492335353431,0.08028835598303863,0.49647124238248885
test,A,5,level_ge_7m,profile_A_control,fully_missing,99,18,81,80,1,48,68.64142218258701,0.8580177772823376,-0.38631752812836123,5.585721334594157
test,A,5,level_ge_7m,profile_B_control,complete,145,5,140,140,0,111,43.621092068123076,0.311579229058022,-0.011953739147684488,1.234264047949761
