phase,horizon_h,contrast,reference,candidate,reference_hits,candidate_hits,change_hits,reference_mae_m,candidate_mae_m,change_mae_m,reference_bias_m,candidate_bias_m,change_bias_m,reference_p98_abs_m,candidate_p98_abs_m,change_p98_abs_m,reference_max_abs_m,candidate_max_abs_m,change_max_abs_m
validation,5,year33,core_original,core_augmented,24,25,1,0.31163335124158803,0.33939668441956805,0.02776333317798002,0.2017007784659781,0.26325490880552355,0.06155413033954546,0.6996720802595058,0.636477440506355,-0.06319463975315076,0.8180956391793739,0.7010857238643133,-0.11700991531506055
validation,5,year45,levels45_original,levels45_augmented,24,24,0,0.23579769021481428,0.27014992932963494,0.03435223911482066,0.10409753637928224,0.174595590150947,0.07049805377166476,0.5774411312555752,0.6701494219793332,0.09270829072375808,0.5948152437142245,0.7206801149027191,0.12586487118849465
validation,5,year108,rain108_original,rain108_augmented,20,20,0,0.3385980460299786,0.4021586337371851,0.06356058770720646,0.24100518042720318,0.3624214832179771,0.12141630279077395,0.909371837187815,0.9697250368855502,0.06035319969773523,1.0040504209642522,1.0056943178588016,0.001643896894549357
validation,5,rain_with_aux_original,levels45_original,observed_control,24,25,1,0.23579769021481428,0.2291228510791504,-0.006674839135663885,0.10409753637928224,0.009423592718073819,-0.09467394366120842,0.5774411312555752,0.7287224414582616,0.15128131020268643,0.5948152437142245,0.7553061347974745,0.1604908910832501
validation,5,rain_with_aux_augmented,levels45_augmented,augmented,24,25,1,0.27014992932963494,0.32542695173315384,0.055277022403518894,0.174595590150947,0.3073940587904867,0.1327984686395397,0.6701494219793332,1.1650859520706192,0.4949365300912859,0.7206801149027191,1.2353311810489425,0.5146510661462234
validation,5,rain_without_aux_original,core_original,rain108_original,24,20,-4,0.31163335124158803,0.3385980460299786,0.026964694788390586,0.2017007784659781,0.24100518042720318,0.03930440196122509,0.6996720802595058,0.909371837187815,0.20969975692830922,0.8180956391793739,1.0040504209642522,0.18595478178487834
validation,5,rain_without_aux_augmented,core_augmented,rain108_augmented,25,20,-5,0.33939668441956805,0.4021586337371851,0.06276194931761703,0.26325490880552355,0.3624214832179771,0.09916657441245358,0.636477440506355,0.9697250368855502,0.3332475963791952,0.7010857238643133,1.0056943178588016,0.30460859399448825
validation,5,aux_with_rain_original,rain108_original,observed_control,20,25,5,0.3385980460299786,0.2291228510791504,-0.10947519495082822,0.24100518042720318,0.009423592718073819,-0.23158158770912934,0.909371837187815,0.7287224414582616,-0.1806493957295534,1.0040504209642522,0.7553061347974745,-0.24874428616677768
validation,5,aux_with_rain_augmented,rain108_augmented,augmented,20,25,5,0.4021586337371851,0.32542695173315384,-0.07673168200403124,0.3624214832179771,0.3073940587904867,-0.05502742442749042,0.9697250368855502,1.1650859520706192,0.19536091518506893,1.0056943178588016,1.2353311810489425,0.22963686319014087
validation,5,aux_without_rain_original,core_original,levels45_original,24,24,0,0.31163335124158803,0.23579769021481428,-0.07583566102677375,0.2017007784659781,0.10409753637928224,-0.09760324208669585,0.6996720802595058,0.5774411312555752,-0.12223094900393061,0.8180956391793739,0.5948152437142245,-0.22328039546514944
