role,period,horizon_h,population,subset,family,observed_targets,pairs,failures,raw_hits,normalized_hits,hits_delta,raw_mae_m,normalized_mae_m,mae_m_delta,raw_bias_m,normalized_bias_m,bias_m_delta,raw_p98_abs_m,normalized_p98_abs_m,p98_abs_m_delta,raw_max_abs_m,normalized_max_abs_m,max_abs_m_delta
original_2025_2026,validation,5,full_schedule,all,plus2020,6513,6473,40,6356,6349,-7,0.08870217529689338,0.08884842593746428,0.00014625064057090242,-0.0019505467255046917,0.0016736753179163741,0.003624222043421066,0.4694981454824089,0.4950835041220115,0.025585358639602596,2.135641354700273,2.1155263286953767,-0.02011502600489612
original_2025_2026,validation,5,full_schedule,level_ge_7m,original,28,28,0,25,25,0,0.2291228510791504,0.22278906449722471,-0.006333786581925682,0.009423592718073819,0.02131096291073664,0.011887370192662823,0.7287224414582616,0.6937225000239702,-0.034999941434291415,0.7553061347974745,0.7475557409284077,-0.007750393869066841
original_2025_2026,validation,5,full_schedule,level_ge_7m,plus2020,28,28,0,25,24,-1,0.2355024601811717,0.29526451403200404,0.05976205385083233,0.11675886546164316,0.15335227536572008,0.03659340990407692,0.7730412775641098,0.6814175045179602,-0.09162377304614955,0.8954256355647745,0.7302356207783385,-0.16519001478643602
original_2025_2026,validation,5,complete24,all,original,5883,5883,0,5837,5836,-1,0.06794901057723474,0.06758584494001721,-0.00036316563721752737,0.0077014233809033755,0.0068170944907133746,-0.0008843288901900009,0.3476726057691846,0.3415713520899117,-0.006101253679272889,1.9219038154095536,1.959106180173876,0.03720236476432248
original_2025_2026,validation,5,complete24,all,plus2020,5883,5883,0,5816,5812,-4,0.07609698992660811,0.07565128868048455,-0.00044570124612355877,0.005653367954541869,0.01050855575575759,0.004855187801215721,0.3840650487164163,0.3851308529857579,0.001065804269341608,1.9107186321302958,1.7234116789280183,-0.18730695320227753
original_2025_2026,validation,5,complete24,level_ge_7m,original,28,28,0,25,25,0,0.2291228510791504,0.22278906449722471,-0.006333786581925682,0.009423592718073819,0.02131096291073664,0.011887370192662823,0.7287224414582616,0.6937225000239702,-0.034999941434291415,0.7553061347974745,0.7475557409284077,-0.007750393869066841
original_2025_2026,validation,5,complete24,level_ge_7m,plus2020,28,28,0,25,24,-1,0.2355024601811717,0.29526451403200404,0.05976205385083233,0.11675886546164316,0.15335227536572008,0.03659340990407692,0.7730412775641098,0.6814175045179602,-0.09162377304614955,0.8954256355647745,0.7302356207783385,-0.16519001478643602
original_2025_2026,validation,5,missing24,all,original,630,590,40,545,546,1,0.180462215014768,0.1766062155724201,-0.003855999442347907,0.08424876721932674,0.07667221437784083,-0.007576552841485909,0.7453921331758218,0.7519901564211099,0.0065980232452881316,1.2266591094999009,1.2552903644876805,0.02863125498777963
original_2025_2026,validation,5,missing24,all,plus2020,630,590,40,540,537,-3,0.2143908287433139,0.22043954201002658,0.006048713266712691,-0.07777059767925709,-0.08642056470889697,-0.008649967029639882,1.368476413791877,1.4030954962881532,0.03461908249627621,2.135641354700273,2.1155263286953767,-0.02011502600489612
original_2025_2026,validation,5,missing24,level_ge_7m,original,0,0,0,0,0,0,,,,,,,,,,,,
original_2025_2026,validation,5,missing24,level_ge_7m,plus2020,0,0,0,0,0,0,,,,,,,,,,,,
