plant,time,field,earlier_m,later_m,delta_m,earlier_collected_at,later_collected_at
JIUHMC,2026-09-20T12:00:00-03:00,val_nivelmontante,149.03,149.03,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T12:00:00-03:00,val_niveljusante,106.3,106.3,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T11:00:00-03:00,val_nivelmontante,148.96,148.96,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T11:00:00-03:00,val_niveljusante,105.07,105.07,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T10:00:00-03:00,val_nivelmontante,148.92,148.92,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T10:00:00-03:00,val_niveljusante,105.93,105.93,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T09:00:00-03:00,val_nivelmontante,148.78,148.78,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T09:00:00-03:00,val_niveljusante,106.09,106.09,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T08:00:00-03:00,val_nivelmontante,148.65,148.65,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T08:00:00-03:00,val_niveljusante,106.52,106.52,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T07:00:00-03:00,val_nivelmontante,148.66,148.66,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T07:00:00-03:00,val_niveljusante,106.41,106.41,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T06:00:00-03:00,val_nivelmontante,148.54,148.54,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
