phase,profile,horizon_h,subset,reference,observed_targets,failures,reference_hits,aged_hits,delta_hits,reference_mae_m,aged_mae_m,delta_mae_m,reference_max_m,aged_max_m
validation,A,5,level_ge_7m,mixed_profile_candidate,28,0,25,25,0,0.22161063312586352,0.22858178239295188,0.006971149267088361,0.8599240535251695,0.8383685618538124
validation,A,5,level_ge_7m,profile_A_control,28,0,23,25,2,0.24039699695818695,0.22858178239295188,-0.011815214565235072,0.9357204278360243,0.8383685618538124
validation,A,6,all,mixed_profile_candidate,6512,40,6331,6329,-2,0.1059601342016064,0.1072966603608638,0.0013365261592574035,1.2812557452434752,1.2799755814715807
validation,A,6,all,profile_A_control,6512,40,6357,6329,-28,0.09710250343054351,0.1072966603608638,0.010194156930320289,1.2844995277971742,1.2799755814715807
validation,A,6,level_ge_7m,mixed_profile_candidate,28,0,24,24,0,0.2403142960680538,0.2398343711124515,-0.00047992495560228443,0.7705091529020649,0.7662994497667359
validation,A,6,level_ge_7m,profile_A_control,28,0,21,24,3,0.30323250631948584,0.2398343711124515,-0.06339813520703433,0.9249813045187132,0.7662994497667359
validation,A,7,all,mixed_profile_candidate,6511,40,6250,6252,2,0.13020496362201628,0.12962316151042075,-0.0005818021115955307,1.8044747709711235,1.7986362130191547
validation,A,7,all,profile_A_control,6511,40,6272,6252,-20,0.12115563032174978,0.12962316151042075,0.008467531188670968,1.6514050101793973,1.7986362130191547
validation,A,7,level_ge_7m,mixed_profile_candidate,28,0,19,20,1,0.45718821207882687,0.4583790144010179,0.0011908023221910424,1.5849620194144736,1.5776376118311095
validation,A,7,level_ge_7m,profile_A_control,28,0,17,20,3,0.4298046592900204,0.4583790144010179,0.02857435511099754,1.4077095977636054,1.5776376118311095
validation,A,8,all,mixed_profile_candidate,6510,40,6088,6093,5,0.16775665835553683,0.1685743361838605,0.0008176778283236763,2.2692566778214416,2.266100078491902
validation,A,8,all,profile_A_control,6510,40,6110,6093,-17,0.15534078925143002,0.1685743361838605,0.013233546932430479,2.147887426724058,2.266100078491902
validation,A,8,level_ge_7m,mixed_profile_candidate,28,0,13,13,0,0.5193555924203702,0.5156666546514816,-0.003688937768888567,1.1156177499107978,1.0952286683380015
validation,A,8,level_ge_7m,profile_A_control,28,0,12,13,1,0.5469261535023009,0.5156666546514816,-0.031259498850819245,1.3552119483988365,1.0952286683380015
validation,A,9,all,mixed_profile_candidate,6509,39,5939,5939,0,0.1978943715682769,0.1978943715682769,0.0,2.456952607614937,2.456952607614937
validation,A,9,all,profile_A_control,6509,39,5900,5939,39,0.19071747153247393,0.1978943715682769,0.0071769000358029855,2.268506796335996,2.456952607614937
validation,A,9,level_ge_7m,mixed_profile_candidate,28,0,12,12,0,0.5907587663219435,0.5907587663219435,0.0,1.1415678429191942,1.1415678429191942
validation,A,9,level_ge_7m,profile_A_control,28,0,12,12,0,0.6348607861039827,0.5907587663219435,-0.044102019782039203,1.2590347355946747,1.1415678429191942
validation,A,10,all,mixed_profile_candidate,6508,40,5700,5700,0,0.2529999405552968,0.2529999405552968,0.0,2.237723271721032,2.237723271721032
validation,A,10,all,profile_A_control,6508,40,5726,5700,-26,0.24975218693603007,0.2529999405552968,0.0032477536192667134,2.0658418737841915,2.237723271721032
validation,A,10,level_ge_7m,mixed_profile_candidate,28,0,8,8,0,0.6595975177623364,0.6595975177623364,0.0,1.2884964127197378,1.2884964127197378
validation,A,10,level_ge_7m,profile_A_control,28,0,10,8,-2,0.5830763903803929,0.6595975177623364,0.0765211273819435,1.2359981820131534,1.2884964127197378
validation,A,11,all,mixed_profile_candidate,6507,39,5473,5473,0,0.28882714044632485,0.28882714044632485,0.0,2.5161778003176107,2.5161778003176107
validation,A,11,all,profile_A_control,6507,39,5447,5473,26,0.2940922919144278,0.28882714044632485,-0.005265151468102969,2.1144976145257557,2.5161778003176107
validation,A,11,level_ge_7m,mixed_profile_candidate,28,0,10,10,0,0.799526081495143,0.799526081495143,0.0,1.7962699564444353,1.7962699564444353
validation,A,11,level_ge_7m,profile_A_control,28,0,12,10,-2,0.6589836615908437,0.799526081495143,0.1405424199042994,1.504668573683551,1.7962699564444353
validation,A,12,all,mixed_profile_candidate,6506,40,5272,5272,0,0.3140497804809289,0.3140497804809289,0.0,2.826852208974106,2.826852208974106
validation,A,12,all,profile_A_control,6506,40,5318,5272,-46,0.31405070329276036,0.3140497804809289,-9.228118314497102e-07,2.8900663229209105,2.826852208974106
validation,A,12,level_ge_7m,mixed_profile_candidate,28,0,8,8,0,0.8211702493864921,0.8211702493864921,0.0,1.5441790419072614,1.5441790419072614
validation,A,12,level_ge_7m,profile_A_control,28,0,8,8,0,0.8483723136272935,0.8211702493864921,-0.027202064240801405,2.026203152954574,1.5441790419072614
validation,B,1,all,mixed_profile_candidate,6517,29,6486,6486,0,0.024304167517363726,0.023736020153156404,-0.000568147364207322,0.6751386202226772,0.6666059635288066
validation,B,1,all,profile_B_control,6517,29,6485,6486,1,0.02269398096152259,0.023736020153156404,0.0010420391916338145,0.6604182002351888,0.6666059635288066
validation,B,1,level_ge_7m,mixed_profile_candidate,28,0,28,28,0,0.10049258377658805,0.09819813797611134,-0.0022944458004767188,0.3233328497722727,0.33109186095545073
validation,B,1,level_ge_7m,profile_B_control,28,0,28,28,0,0.08723246070700563,0.09819813797611134,0.010965677269105703,0.2763001588280076,0.33109186095545073
validation,B,2,all,mixed_profile_candidate,6516,29,6473,6475,2,0.03670517948947578,0.035552102050157644,-0.0011530774393181328,1.0021520968315372,0.9883105689816025
validation,B,2,all,profile_B_control,6516,29,6475,6475,0,0.035474564587545054,0.035552102050157644,7.753746261258965e-05,0.915431615571995,0.9883105689816025
validation,B,2,level_ge_7m,mixed_profile_candidate,28,0,25,25,0,0.17058836413056058,0.1635254523662464,-0.0070629117643141726,0.6654902213279517,0.611790744866445
validation,B,2,level_ge_7m,profile_B_control,28,0,27,25,-2,0.14050710758353616,0.1635254523662464,0.023018344782710254,0.5038715751272758,0.611790744866445
validation,B,3,all,mixed_profile_candidate,6515,28,6433,6429,-4,0.05383864418686927,0.05366749620693265,-0.0001711479799366214,1.408020403800724,1.3731136118048877
validation,B,3,all,profile_B_control,6515,28,6463,6429,-34,0.049820112142526386,0.05366749620693265,0.0038473840644062604,1.1773227423019819,1.3731136118048877
validation,B,3,level_ge_7m,mixed_profile_candidate,28,0,23,23,0,0.27089180720741585,0.2794071267194557,0.008515319512039876,1.1558051085951035,1.2124629740573232
validation,B,3,level_ge_7m,profile_B_control,28,0,25,23,-2,0.2189182435827352,0.2794071267194557,0.06048888313672052,0.8606432989096868,1.2124629740573232
validation,B,4,all,mixed_profile_candidate,6514,30,6424,6422,-2,0.07058492273375583,0.06848865974733226,-0.0020962629864235693,1.4569632485693784,1.487791917859587
validation,B,4,all,profile_B_control,6514,30,6440,6422,-18,0.0668996538143383,0.06848865974733226,0.0015890059329939643,1.3381390558773205,1.487791917859587
validation,B,4,level_ge_7m,mixed_profile_candidate,28,0,23,24,1,0.2855828888341062,0.276579873263379,-0.00900301557072719,1.0752953783696508,1.1694336419231437
validation,B,4,level_ge_7m,profile_B_control,28,0,24,24,0,0.2108473378682307,0.276579873263379,0.06573253539514831,0.9459258404198012,1.1694336419231437
validation,B,5,all,mixed_profile_candidate,6513,30,6400,6401,1,0.0825442124085056,0.08219585179819294,-0.00034836061031265353,1.3662891017699481,1.381239840185101
validation,B,5,all,profile_B_control,6513,30,6397,6401,4,0.08327613012956056,0.08219585179819294,-0.0010802783313676179,1.331690111386059,1.381239840185101
validation,B,5,level_ge_7m,mixed_profile_candidate,28,0,23,22,-1,0.27542112344877456,0.28606728091262196,0.010646157463847394,1.060013319538986,1.0618658394127838
validation,B,5,level_ge_7m,profile_B_control,28,0,22,22,0,0.27534792982512496,0.28606728091262196,0.010719351087496998,0.6619228134997979,1.0618658394127838
validation,B,6,all,mixed_profile_candidate,6512,30,6333,6333,0,0.10208987076245167,0.10301896947687249,0.0009290987144208174,1.475247979291903,1.4800419234390936
validation,B,6,all,profile_B_control,6512,30,6335,6333,-2,0.100202271937591,0.10301896947687249,0.0028166975392814875,1.3836569377257621,1.4800419234390936
validation,B,6,level_ge_7m,mixed_profile_candidate,28,0,23,23,0,0.234415440827118,0.23344074304164433,-0.0009746977854736549,0.8878534127507605,0.8435656813028443
validation,B,6,level_ge_7m,profile_B_control,28,0,24,23,-1,0.24801770801555317,0.23344074304164433,-0.01457696497390884,0.8497199323401672,0.8435656813028443
validation,B,7,all,mixed_profile_candidate,6511,30,6244,6250,6,0.12888867120541123,0.1281678072805543,-0.0007208639248569293,1.7269704230562064,1.722846734795106
validation,B,7,all,profile_B_control,6511,30,6236,6250,14,0.13330361598357807,0.1281678072805543,-0.00513580870302377,1.9469233922814213,1.722846734795106
validation,B,7,level_ge_7m,mixed_profile_candidate,28,0,18,18,0,0.4560700649693484,0.4579141730072122,0.0018441080378638341,1.4090351708705535,1.3863260705611138
validation,B,7,level_ge_7m,profile_B_control,28,0,21,18,-3,0.4016508110801708,0.4579141730072122,0.0562633619270414,1.5547784950117238,1.3863260705611138
validation,B,8,all,mixed_profile_candidate,6510,30,6059,6068,9,0.1704148861123432,0.17149564099520168,0.00108075488285847,2.3646913665301716,2.3752295647653354
validation,B,8,all,profile_B_control,6510,30,6053,6068,15,0.1724419207308681,0.17149564099520168,-0.000946279735666411,2.4148113737986923,2.3752295647653354
validation,B,8,level_ge_7m,mixed_profile_candidate,28,0,12,13,1,0.5476979996492372,0.545347641429177,-0.0023503582200601336,1.1407016548166258,1.1085530488457707
validation,B,8,level_ge_7m,profile_B_control,28,0,11,13,2,0.5716336864815942,0.545347641429177,-0.026286045052417162,1.335266769823745,1.1085530488457707
